"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"337",-0.904570798757761,44.6335723592991,NA,NA,NA,NA,-0.338534322875298,NA,-34.1319439764123,NA,17.7862101333601,5,-155.829163044574,321.658326089148,0,0.0330563347127381
"338",-0.913577477198915,61.7470894577657,"+",NA,NA,NA,-0.302830923490035,NA,-47.4384599049812,NA,25.0881150738019,7,-153.937466845553,321.874933691105,0.216607601957151,0.0296632651769819
"322",-0.899572033878139,68.4977134336808,"+",NA,NA,NA,NA,NA,-52.5897144073472,NA,27.8600159028957,6,-155.081591563766,322.163183127531,0.504857038382909,0.0256818546894154
"346",-0.905941837613268,68.7918763658259,"+",NA,NA,-0.201328738707875,-0.305855712478386,NA,-52.8379619079131,NA,27.992294930562,8,-153.258091547994,322.516183095988,0.857857006840277,0.02152649958661
"321",-0.919076488735966,62.9301201346062,NA,NA,NA,NA,NA,NA,-48.3085950734986,NA,25.4919009324926,4,-157.262483161559,322.524966323118,0.866640233970202,0.0214321707984164
"345",-0.89296548351768,82.5686099139608,NA,NA,NA,-0.147250976697135,-0.343149300360258,NA,-63.4936803298432,NA,33.6055917904686,6,-155.343180502387,322.686361004774,1.02803491562594,0.0197705955509175
"339",-0.944675474501902,85.4119750564478,NA,0.153871519087327,NA,NA,-0.334044173836791,NA,-65.6295405262182,NA,34.9132662499153,6,-155.378893274968,322.757786549936,1.09946046078772,0.0190769917428292
"330",-0.893912698314615,67.8919974443431,"+",NA,NA,-0.196972083418125,NA,NA,-52.1252321587112,NA,27.6125285751983,7,-154.456069046847,322.912138093693,1.25381200454484,0.0176600886722321
"370",-1.37266038004826,86.3024971331426,"+",NA,NA,NA,-0.301491278386265,0.0907128877608606,-66.3175255824994,NA,35.2425238480986,8,-153.465740333017,322.931480666033,1.27315457688519,0.0174901161521791
"354",-1.37223911709473,79.7518371059213,"+",NA,NA,NA,NA,0.0931089503234992,-60.1397005840547,NA,34.0837216539768,7,-154.640464588483,323.280929176966,1.62260308781805,0.0146862498928588
"465",-0.907910636790307,32.0684759319076,NA,NA,NA,NA,-0.338534005685316,NA,-20.8616672100762,-5.93167484042328,10.5433703831563,6,-155.684070004466,323.368140008932,1.70981391978387,0.0140596115590445
"341",-0.910947132363431,64.5670934965428,NA,NA,0.0221561699156599,NA,-0.336520794979925,NA,-49.580312092702,NA,26.2541158014837,6,-155.702370022046,323.404740044092,1.74641395494399,0.013804660341254
"369",-0.831553610751777,59.2888879230426,NA,NA,NA,NA,-0.336404981789521,-0.0114164092515288,-45.5183463821594,NA,23.9484372191924,6,-155.719174566515,323.43834913303,1.78002304388161,0.0135746176078513
"323",-0.959246643025527,62.5967826451984,NA,0.170352004182913,NA,NA,NA,NA,-48.0088607601645,NA,25.3719313042721,5,-156.890433173719,323.780866347438,2.12254025829014,0.0114380222340653
"466",-0.913297352414828,39.9003838171915,"+",NA,NA,NA,-0.303000733107272,NA,-20.1403846757775,-12.0347829357001,13.6985369849613,8,-153.890975555985,323.78195111197,2.1236250228215,0.0114318201357573
"342",-0.934873841152362,66.1092760427912,"+",NA,0.031142955062876,NA,-0.301080151158816,NA,-50.7646128778864,NA,26.889691014213,8,-153.902909884847,323.805819769693,2.14749368054493,0.0112961999126158
"340",-0.930743609057352,68.6979229341425,"+",0.0343408183489161,NA,NA,-0.303381913446745,NA,-52.7876734981291,NA,27.9627082587299,8,-153.906370440896,323.812740881793,2.15441479264456,0.0112571763402417
"326",-0.932372947566429,93.8436450085324,"+",NA,0.0478863236115388,NA,NA,NA,-72.1155621853887,NA,38.4098533357467,7,-155.002952068101,324.005904136203,2.34757804705436,0.0102207932071323
"329",-0.905835946605904,49.1828689245686,NA,NA,NA,-0.138944530345479,NA,NA,-37.7284964131812,NA,19.8597023434131,5,-157.031339454849,324.062678909699,2.40435282055063,0.00993473108538657
"450",-0.899484902972026,49.1977546358371,"+",NA,NA,NA,NA,NA,-24.4323034180244,-15.1238146040244,17.0696907827757,7,-155.049425383008,324.098850766015,2.44052467686697,0.00975666733055084
"324",-0.915355425105501,72.1363066158064,"+",0.0305842047117114,NA,NA,NA,NA,-55.3705305002122,NA,29.3619784003559,7,-155.065189771236,324.130379542473,2.47205345332446,0.00960406543700094
"348",-0.973869040200754,68.4156051933139,"+",0.133126057809356,NA,-0.236991541172485,-0.308953910709742,NA,-52.5357907887017,NA,27.8540839177826,9,-153.096404396172,324.192808792345,2.53448270319637,0.00930890870504401
"378",-1.21478633074288,58.1623747804605,"+",NA,NA,-0.168960315372501,-0.300580151477462,0.0599327954875071,-44.8121688993737,NA,23.8785702572378,9,-153.097636677226,324.195273354451,2.53694726530301,0.00929744457818358
"362",-1.236733156207,78.9911999245347,"+",NA,NA,-0.162979804939867,NA,0.0670773879683088,-60.678185230582,NA,32.2373271483617,8,-154.223452800498,324.446905600996,2.78857951184767,0.00819827251020837
