"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"275",-1.77349963001365,86.3592051629541,NA,0.616541996283242,NA,NA,-0.301482954756298,NA,NA,NA,50.5941407167573,5,-116.455468359058,242.910936718117,0,0.0224481050029582
"436",-1.20528083588773,164.708079295799,"+",0.5354426526819,NA,NA,-0.322051157013198,-0.178089916056056,NA,95.5973538052652,93.0511325474545,9,-112.486825653917,242.973651307835,0.062714589717558,0.0217551150826523
"403",-1.73916657217282,70.9712873291406,NA,0.5741934825346,NA,NA,-0.3017047562189,NA,NA,41.448308622818,40.1232893822959,6,-115.560353223007,243.120706446014,0.209769727897253,0.020212906520029
"259",-1.75708293912317,76.2909503040657,NA,0.551221208584523,NA,NA,NA,NA,NA,NA,44.4074635061126,4,-117.568912416684,243.137824833368,0.226888115250858,0.0200406386271739
"308",-1.20848698790069,120.840301747258,"+",0.561308197515555,NA,NA,-0.32770888632101,-0.180498327428391,NA,NA,70.5095910955651,8,-113.770931676471,243.541863352942,0.630926634824931,0.016374788797005
"420",-1.23266802264047,101.343698621583,"+",0.425036572325438,NA,NA,NA,-0.156106478849936,NA,59.0019978520914,57.2262446947211,8,-113.895989622471,243.791979244942,0.88104252682507,0.0144498630578082
"292",-1.23274287210052,116.533426240687,"+",0.450364125048257,NA,NA,NA,-0.158869073061758,NA,NA,67.9676960305842,7,-114.977766407099,243.955532814198,1.04459609608145,0.0133152254734742
"404",-2.12417467307836,87.5749256196773,"+",0.587313264543156,NA,NA,-0.291656102797933,NA,NA,51.2529871211658,49.3799205583876,8,-113.98597298245,243.971945964901,1.06100924678373,0.013206400224374
"387",-1.70670106808689,40.2244608598907,NA,0.483178228455373,NA,NA,NA,NA,NA,23.8253525584625,22.7686917162704,5,-116.986172787054,243.972345574108,1.06140885599106,0.0132037617884059
"307",-1.28055268248426,108.850916942243,NA,0.523693375913577,NA,NA,-0.303914292929491,-0.0691783162404732,NA,NA,63.6488042881488,6,-116.014842610246,244.029685220492,1.11874850237456,0.0128305872572037
"276",-2.1324512066004,109.818753087339,"+",0.611463118205238,NA,NA,-0.296770734152471,NA,NA,NA,63.9639529416595,7,-115.022275363806,244.044550727612,1.13361400949518,0.0127355742058074
"419",-1.20753632871556,101.146323698556,NA,0.400619949635409,NA,NA,NA,-0.0683196374463056,NA,58.6813071346611,57.2289330206768,6,-116.042617374289,244.085234748577,1.17429803046053,0.0124791242191025
"260",-2.05432923418845,83.433296901775,"+",0.501856430426951,NA,NA,NA,NA,NA,NA,48.5082944019753,6,-116.062467642971,244.124935285943,1.21399856782568,0.0122338526573386
"291",-1.17478112977045,86.4106222619992,NA,0.42496938403197,NA,NA,NA,-0.0790466512452839,NA,NA,50.488018192896,5,-117.092586869556,244.185173739111,1.27423702099443,0.0118708722614761
"391",-1.69569263544005,174.203733933299,NA,0.481391098394252,-0.00235991809411555,NA,NA,NA,NA,101.025364126079,98.4241255495805,6,-116.197518536014,244.395037072028,1.48410035391149,0.010688367750563
"388",-2.05925270876184,58.7997465973594,"+",0.477274215002344,NA,NA,NA,NA,NA,34.7095116278239,33.0928237841208,7,-115.199199236109,244.398398472218,1.48746175410119,0.0106704188974155
"283",-1.77663508342749,129.636352438359,NA,0.554126733092895,NA,0.109272155953687,-0.311219323281078,NA,NA,NA,75.6849184785095,6,-116.221966097501,244.443932195002,1.53299547688522,0.0104302314807996
"444",-1.07301206940219,165.532747345042,"+",0.602105522833229,NA,-0.135762428447033,-0.32951183946918,-0.210560043557399,NA,96.1042790485898,93.519741322332,10,-112.31842485339,244.63684970678,1.72591298866283,0.00947114403968503
"339",-1.77908613193526,48.3387541286282,NA,0.610831936588327,NA,NA,-0.312154900219869,NA,4.95020255167632,NA,26.3944409597012,6,-116.338785671391,244.677571342781,1.76663462466416,0.0092802537356288
