"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"357",0.156068309668078,72.4448391528908,NA,NA,0.22658653768842,NA,NA,-0.174620668031137,26.5062059317889,NA,42.91265902094,6,-258.454208363351,528.908416726702,0,0.0544234105422611
"373",0.185669027043175,105.676947634563,NA,NA,0.219320720551077,NA,0.00329117313399062,-0.178605033640573,39.2131985369967,NA,62.654492562874,7,-258.100893559398,530.201787118795,1.29337039209281,0.0285058464859961
"181",0.0771250840097252,3.51093929877925,NA,NA,0.18082174582052,NA,0.262357779112837,-0.153432444536828,NA,2.34129838740194,NA,6,-259.207897029718,530.415794059435,1.50737733273286,0.0256131460120203
"177",0.0454520515657792,3.34659797356532,NA,NA,NA,NA,0.237815150051507,-0.146214319045555,NA,2.26352098030124,NA,5,-260.283318370599,530.566636741197,1.65822001449487,0.0237524194030591
"53",0.104056697162773,2.25697578860724,NA,NA,0.19470685357119,NA,0.222564736860996,-0.15825639527205,NA,NA,NA,5,-260.517133183387,531.034266366775,2.12584964007237,0.0188002389921975
"365",0.275928045117192,55.0934182212497,NA,NA,0.230494152927524,-0.0893507576915179,NA,-0.192474567499251,19.7487259743419,NA,32.5931647413338,7,-258.51833057775,531.0366611555,2.12824442879753,0.0187777411640874
"289",0.119308471823065,2.42413262609411,NA,NA,NA,NA,NA,-0.152418479754935,NA,NA,1.06630978254458,4,-261.577085571322,531.154171142644,2.24575441594141,0.0177062413164114
"293",0.168388193293665,2.68525774030738,NA,NA,0.175724585115516,NA,NA,-0.163300930574846,NA,NA,1.17402697318818,5,-260.588300119862,531.176600239725,2.26818351302234,0.0175087830856146
"33",0.122649195072942,1.97778699519349,NA,NA,NA,NA,NA,-0.151965865576743,NA,NA,NA,3,-262.599823484994,531.199646969988,2.29123024328533,0.0173081810103803
"37",0.166851684510268,2.07838568497589,NA,NA,0.175639684262934,NA,NA,-0.160773772407658,NA,NA,NA,4,-261.601319977149,531.202639954298,2.29422322759592,0.0172822988243502
"417",0.102485673790993,3.93203768520891,NA,NA,NA,NA,NA,-0.149371313409372,NA,1.99795141059335,2.19553108077514,5,-260.617181062627,531.234362125253,2.32594539855108,0.0170103452462696
"367",0.32099528029418,185.529716693882,NA,-0.0320580205255587,0.221718543550213,-0.0740166443780066,NA,-0.198650347605224,56.8420895949155,NA,108.801396913928,8,-257.696033483032,531.392066966065,2.48365023936265,0.0157205579985317
"49",0.0615346108290756,2.06033095522653,NA,NA,NA,NA,0.196684059596334,-0.147502112748677,NA,NA,NA,4,-261.726688297984,531.453376595967,2.54495986926509,0.0152459587435198
"433",0.0399709956767045,4.15965788223137,NA,NA,NA,NA,0.225851824091269,-0.145389148066808,NA,2.89482508451653,1.23881931735143,6,-259.826120669669,531.652241339337,2.74382461263485,0.0138029466650812
"161",0.110830966342731,3.21130563202414,NA,NA,NA,NA,NA,-0.154279234775273,NA,1.98971832095541,NA,4,-261.851159547876,531.702319095752,2.79390236904976,0.0134616273235385
"421",0.139145081847135,4.01818766922322,NA,NA,0.150860799622401,NA,NA,-0.156577511986022,NA,1.91958926285806,2.26138690147525,6,-259.872326341825,531.744652683649,2.83623595694712,0.013179682294582
"245",0.0812214904431636,3.52783106048634,NA,NA,0.190560029052197,NA,0.265892394047012,-0.153884477124443,-1.62898548360658,3.68647536118805,NA,7,-258.918313572297,531.836627144594,2.9282104178917,0.0125873103726502
"437",0.0731741291848471,4.20436890586891,NA,NA,0.165461418687864,NA,0.252119616153952,-0.152707030035769,NA,2.92827594939866,1.01243293380527,7,-258.938373898506,531.876747797011,2.96833107030875,0.0123373206415447
"189",0.193542395875167,3.61791320705252,NA,NA,0.184551296139519,-0.100521610813536,0.273612579420683,-0.17206760328094,NA,2.40534516826851,NA,7,-258.986516468792,531.973032937584,3.06461621088158,0.0117574407642694
"183",0.226774422576842,3.59309158322053,NA,-0.0901887480005931,0.174600942771807,NA,0.272001333691997,-0.17578370459013,NA,2.37230140389126,NA,7,-259.035756566415,532.071513132829,3.1630964061269,0.0111925256078625
"179",0.222157756755875,3.4288952415927,NA,-0.10451874180351,NA,NA,0.251089617185026,-0.172725814704412,NA,2.28698459120088,NA,6,-260.043982982089,532.087965964178,3.1795492374755,0.0111008289244062
"165",0.136174150928812,3.2713738107318,NA,NA,0.151243261086955,NA,NA,-0.159753644143937,NA,1.95017631479048,NA,5,-261.076251438967,532.152502877934,3.24408615123127,0.0107483400266703
"353",0.106741874787605,5.20056368295097,NA,NA,NA,NA,NA,-0.155038549436338,2.45915961869436,NA,2.96321407293409,5,-261.086019643267,532.172039286535,3.2636225598327,0.010643859171343
"359",0.295749276159291,42.8781121015258,NA,-0.0687877637509872,0.215205366454013,NA,NA,-0.19397255557528,21.4438070324865,NA,25.7720322735259,7,-259.086810748136,532.173621496272,3.26520476957012,0.0106354420923658
"241",0.0474527134692058,3.31653992082474,NA,NA,NA,NA,0.239796720995453,-0.146081355957939,-1.25319920335824,3.28521681567247,NA,6,-260.092517710872,532.185035421744,3.2766186950422,0.0105749188867699
"185",0.146731748894058,3.42881365855537,NA,NA,NA,-0.0876556702348606,0.247899873571771,-0.162466974196231,NA,2.30703338196974,NA,6,-260.114854257568,532.229708515136,3.32129178843365,0.010341330211215
"117",0.080397760386014,2.72838396726348,NA,NA,0.18143666653357,NA,0.237370194946506,-0.155888795737899,1.0998573646452,NA,NA,6,-260.223501308423,532.447002616845,3.53858589014283,0.0092766589689022
"55",0.277543492625153,2.3653794675715,NA,-0.106631271796151,0.185994510633381,NA,0.239196733790109,-0.184905947349821,NA,NA,NA,6,-260.28387658738,532.567753174761,3.65933644805864,0.00873315042443732
"113",0.0478440568863327,2.61241101876747,NA,NA,NA,NA,0.214881867609581,-0.147942896199929,1.1431776972279,NA,NA,5,-261.294205481893,532.588410963786,3.67999423708409,0.00864341088787135
"309",0.131257088421614,2.39562106164536,NA,NA,0.185891603567348,NA,0.151780243680313,-0.16063449732483,NA,NA,0.698115925403809,6,-260.327246220813,532.654492441626,3.7460757149239,0.00836249263452999
"61",0.199844456737684,2.33970021134444,NA,NA,0.195654079859466,-0.0911260628391362,0.233529270156617,-0.174219857200334,NA,NA,NA,6,-260.335573483248,532.671146966495,3.76273023979286,0.00829314510203876
"381",0.272818321275679,70.2193921192728,NA,NA,0.238089231457451,-0.0882407613447598,0.0266420347902906,-0.192884338030235,22.2490941165665,NA,41.0794501496815,8,-258.347747049181,532.695494098362,3.78707737165939,0.00819279997159909
"358",0.192066870721845,192.525099331032,"+",NA,0.230857985523976,NA,NA,-0.175271409066179,73.1803671634194,NA,114.368312204499,9,-257.364050639479,532.728101278959,3.81968455225626,0.00806031087612926
"51",0.273052082985298,2.146318800998,NA,-0.127204056605773,NA,NA,0.218662450593422,-0.179669695959956,NA,NA,NA,5,-261.385906752951,532.771813505902,3.86339677919943,0.00788605502150054
"97",0.112210447769511,2.30931480436262,NA,NA,NA,NA,NA,-0.152712752322905,0.740830370683049,NA,NA,4,-262.406607791847,532.813215583694,3.9047988569921,0.0077244836076721
"305",0.0908088332834228,2.267221284559,NA,NA,NA,NA,0.113509099521952,-0.150643935037713,NA,NA,0.762578183665816,5,-261.425751665122,532.851503330245,3.94308660354227,0.00757801354776859
"501",0.0801587554445911,4.2483492534645,NA,NA,0.17782382639898,NA,0.258861398201782,-0.153425094093254,-2.69010677645779,5.20165180439406,1.14403103228023,8,-258.428714183746,532.857428367491,3.94901164078874,0.00755559676297252
"497",0.0447119186160586,4.10796789392415,NA,NA,NA,NA,0.231778015283056,-0.145486743430544,-2.26623698713825,4.81118902642472,1.21685667059214,7,-259.445458100963,532.890916201926,3.98249947522368,0.00743013972841314
"301",0.250248906153808,2.85362477568742,NA,NA,0.179127495413614,-0.0751956053859098,NA,-0.176979758277109,NA,NA,1.28288280168228,6,-260.464978492002,532.929956984004,4.02154025730169,0.00728650694039278
"35",0.256432494075574,2.02516073377622,NA,-0.0790287736376009,NA,NA,NA,-0.172142979557552,NA,NA,NA,4,-262.465033531572,532.930067063145,4.02165033644269,0.00728610590521686
"291",0.235953918411235,2.50401695242931,NA,-0.0708334264076065,NA,NA,NA,-0.170009709218217,NA,NA,1.10944435467319,5,-261.469235333864,532.938470667728,4.03005394102604,0.00725555535735578
"297",0.189885494309187,2.49531431463654,NA,NA,NA,-0.0643282831311682,NA,-0.163766438249991,NA,NA,1.11139046171974,5,-261.485989350726,532.971978701452,4.06356197474963,0.00713500830399326
"45",0.232340065316445,2.1254130657875,NA,NA,0.176478951893392,-0.0599376977365561,NA,-0.171561907656465,NA,NA,NA,5,-261.521909655904,533.043819311808,4.13540258510523,0.00688326504309422
"41",0.188293049878584,2.00294674760527,NA,NA,NA,-0.0579145945566784,NA,-0.162400637713925,NA,NA,NA,4,-262.525607379357,533.051214758714,4.14279803201191,0.00685785963254769
"295",0.253005938622235,2.78687641627406,NA,-0.0529571908068798,0.171675910829623,NA,NA,-0.176235701009934,NA,NA,1.23459151615356,6,-260.530635057417,533.061270114833,4.15285338813078,0.00682346705199641
"101",0.138974536838589,2.3658408106404,NA,NA,0.165042458170591,NA,NA,-0.158681402187743,0.622323148249796,NA,NA,5,-261.532197116628,533.064394233255,4.15597750655274,0.0068128167128328
"39",0.253529148870481,2.136377616139,NA,-0.0532026369490969,0.1704707605244,NA,NA,-0.174242956244703,NA,NA,NA,5,-261.542216466115,533.084432932229,4.17601620552693,0.00674489754233305
"57",0.155578620368341,2.11334316699912,NA,NA,NA,-0.0868786884972914,0.207566083925357,-0.162841303201453,NA,NA,NA,5,-261.562221772412,533.124443544825,4.21602681812237,0.00661130454094157
"425",0.133090545913544,3.89661240184213,NA,NA,NA,-0.0261142379666529,NA,-0.15414883498583,NA,1.9420321358913,2.17662078767228,6,-260.602199308471,533.204398616943,4.29598189024034,0.00635221427612053
"419",0.136323028908955,3.91540620837018,NA,-0.020352640334144,NA,NA,NA,-0.154405271993856,NA,1.96069118089104,2.1866292721532,6,-260.608412456137,533.216824912274,4.30840818557169,0.0063128693851974
"481",0.102661260181726,3.88004049164771,NA,NA,NA,NA,NA,-0.149304846329782,-0.0878921868421624,2.04717264881961,2.15673032557685,6,-260.616823530639,533.233647061278,4.32523033457574,0.00625999405138989
"375",0.322068584989778,51.0289659520325,NA,-0.0908261893656687,0.214680094500158,NA,0.0381347599195027,-0.199096832622646,17.0149820093136,NA,30.0781962034541,8,-258.649271405733,533.298542811467,4.39012608476446,0.00606013065306173
"253",0.202466465444523,3.6391967245679,NA,NA,0.194962614325984,-0.104557159052679,0.277904661455744,-0.173285004225096,-1.73275005024429,3.83247787552059,NA,8,-258.68017546774,533.360350935481,4.45193420877854,0.00587571231479985
"435",0.172032262276118,4.13830616874593,NA,-0.0785577473834631,NA,NA,0.239660270571266,-0.165151480504098,NA,2.87924528420605,1.09723045019469,7,-259.695310670865,533.390621341729,4.48220461502706,0.00578745182051509
"225",0.112776134879016,3.29915451710044,NA,NA,NA,NA,NA,-0.154474124094689,-1.1563400703075,3.06438493176258,NA,5,-261.704605261508,533.409210523017,4.50079379631461,0.00573390903954857
"247",0.238274953634201,3.6226552197763,NA,-0.0948766672236579,0.184551887991318,NA,0.276098203191011,-0.177323901010796,-1.69743159481891,3.77980211924606,NA,8,-258.727634689952,533.455269379905,4.54685265320234,0.00560336928885435
"441",0.109421154200968,4.13763244710159,NA,NA,NA,-0.0605722721841475,0.235642387426749,-0.15651628537202,NA,2.8852266214053,1.11861954708524,7,-259.748412200591,533.496824401182,4.58840767448021,0.00548814639149062
"163",0.213650432054923,3.28986609653576,NA,-0.0593548454469863,NA,NA,NA,-0.16983379589468,NA,2.02647761582683,NA,5,-261.771690450774,533.543380901549,4.63496417484635,0.00536186742568106
"445",0.167207242136971,4.19196077122202,NA,NA,0.171192058800703,-0.0816386927285102,0.264633574366994,-0.167822270333261,NA,2.91320367317899,0.867798828612527,8,-258.798882757924,533.597765515848,4.68934878914536,0.0052180303733098
"169",0.166845888312035,3.24817243942165,NA,NA,NA,-0.0461500106207734,NA,-0.163220864117794,NA,2.00181079782735,NA,5,-261.802547051068,533.605094102136,4.69667737543341,0.00519894496900069
"429",0.191155136938081,3.96510322044747,NA,NA,0.154094038131364,-0.0436344164300135,NA,-0.164798890194233,NA,1.82425551456084,2.22869981335131,7,-259.83032668728,533.66065337456,4.75223664785756,0.00505650775593542
"243",0.233084443977844,3.39253742876719,NA,-0.109586212720358,NA,NA,0.253848175086518,-0.173839637521767,-1.36570975700713,3.39188430399566,NA,7,-259.831130542937,533.662261085875,4.75384435917238,0.0050524446868484
