"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"33",0.504607523683683,1.35520114145007,NA,NA,NA,NA,NA,-0.180758886839299,NA,NA,NA,3,-154.232926241672,314.465852483343,0,0.0398469539542352
"161",0.468505072277826,1.30286525021002,NA,NA,NA,NA,NA,-0.171845857747327,NA,-0.554277225207121,NA,4,-153.30766858137,314.615337162739,0.149484679396096,0.0369772783304417
"225",0.46321804368401,1.36759752696245,NA,NA,NA,NA,NA,-0.172314332529426,1.07386584376058,-1.62063784676937,NA,5,-152.784629530049,315.569259060098,1.10340657675465,0.0229505677818763
"97",0.47962517581313,1.31060272568791,NA,NA,NA,NA,NA,-0.174843269113198,-0.340954323004358,NA,NA,4,-153.82784400178,315.655688003561,1.18983552021757,0.0219798957149203
"289",0.555781814286325,1.44955110811036,NA,NA,NA,NA,NA,-0.189477906860673,NA,NA,-0.464664800199884,4,-153.86017324104,315.72034648208,1.2544939987369,0.0212806660890437
"417",0.520535294090476,1.40494827429211,NA,NA,NA,NA,NA,-0.181324203426264,NA,-0.580546975196074,-0.475797182465899,5,-152.924784587392,315.849569174785,1.38371669144152,0.019949171602871
"41",0.387778363084341,1.3413673173081,NA,NA,NA,0.132949196258657,NA,-0.162030946507119,NA,NA,NA,4,-154.022565614908,316.045131229816,1.57927874647237,0.0180908555304384
"35",0.413895438172875,1.39423586306666,NA,0.0991634031871517,NA,NA,NA,-0.169528413362215,NA,NA,NA,4,-154.036220220165,316.072440440331,1.6065879569876,0.0178455108934772
"169",0.357152229207078,1.2916852775734,NA,NA,NA,0.123643574601188,NA,-0.154264894856925,NA,-0.542586671258556,NA,5,-153.124139362715,316.24827872543,1.78242624208713,0.016343542145107
"49",0.495852254574424,1.35755965572221,NA,NA,NA,NA,0.0566261623059707,-0.178859689036811,NA,NA,NA,4,-154.150366700055,316.300733400111,1.8348809167673,0.0159204668724513
"163",0.40597102473486,1.32549287887692,NA,0.0763461305033934,NA,NA,NA,-0.164243496165704,NA,-0.541253467292684,NA,5,-153.188411421778,316.376822843555,1.91097036021176,0.0153261540558074
"37",0.476201399471395,1.35364998374279,NA,NA,0.0369702297814888,NA,NA,-0.17632691824729,NA,NA,NA,4,-154.210554501123,316.421109002247,1.95525651890318,0.014990515559378
"177",0.459040932547068,1.30595884865528,NA,NA,NA,NA,0.0557099285636811,-0.169939317229532,NA,-0.552178854018212,NA,5,-153.229868626445,316.45973725289,1.99388476954664,0.0147037649458263
