"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"493",-0.697880455414294,165.011870872041,NA,NA,0.123478890552063,0.599416055133079,NA,-0.147612612727739,285.878069398952,-144.933444410321,-56.0976813380244,8,-110.814647451826,237.629294903652,0,0.0436632714834712
"491",-0.621931272994516,132.685606870118,NA,0.0748749674338194,NA,0.545677012764202,NA,-0.156720230532733,232.214758534035,-120.644262113085,-45.5961741205853,8,-111.157737643942,238.315475287884,0.686180384232216,0.0309823313983491
"329",-1.582505214812,27.0774637464687,NA,NA,NA,0.70551898845899,NA,NA,25.6448689390688,NA,5.42944674235333,5,-114.190886398638,238.381772797275,0.752477893623109,0.0299721414654655
"73",-1.57637731833831,6.40619759407403,NA,NA,NA,0.753693905945142,NA,NA,7.00144214853488,NA,NA,4,-115.361320002469,238.722640004939,1.09334510128684,0.0252754793113874
"361",-0.959989765919078,27.666921775798,NA,NA,NA,0.527163590404097,NA,-0.0925590379941787,26.2231440999359,NA,5.47906216837732,6,-113.500694576982,239.001389153964,1.37209425031179,0.0219871931446723
"333",-1.62165720000788,26.6302027693203,NA,NA,0.181106606799679,0.71518663049121,NA,NA,25.359744005994,NA,5.14796744991157,6,-113.597223283076,239.194446566152,1.56515166249949,0.0199640158986602
"105",-0.924204512281782,6.16189039830754,NA,NA,NA,0.555669426245429,NA,-0.0965632226000634,6.69533737214267,NA,NA,5,-114.641075348299,239.282150696597,1.65285579294505,0.0191074704715948
"137",-1.56138213234112,3.14615284363315,NA,NA,NA,0.732952974923078,NA,NA,NA,3.32116313401515,NA,4,-115.830381637176,239.660763274351,2.03146837069923,0.0158120624328439
"77",-1.6223884415082,6.74789058242384,NA,NA,0.173204905672588,0.756787453447468,NA,NA,7.26971314071273,NA,NA,5,-114.83723304779,239.67446609558,2.04517119192792,0.0157040977778862
"379",-0.768214480702098,29.1444460729379,NA,0.284382848716267,NA,0.429772914190472,-0.386999517160815,-0.126170378454009,18.3025400615989,NA,15.4375035321343,8,-111.86684356058,239.733687121159,2.10439221750707,0.0152459084770676
"233",-0.716304094074854,3.01588789422673,NA,NA,NA,0.607896389374759,NA,-0.125198031593844,5.88336470367242,-3.2718920763406,NA,6,-113.986809637312,239.973619274624,2.34432437097223,0.0135223665197056
"347",-1.60779541524037,28.3901637424906,NA,0.227408428050866,NA,0.686233574330681,-0.347799779003329,NA,17.9559482354938,NA,15.0502091004858,7,-113.016470651987,240.032941303975,2.40364640032263,0.0131271693556788
"349",-1.60870468501949,27.3074211958758,NA,NA,0.157819841932238,0.767709664521867,-0.308149582973574,NA,17.3443036449012,NA,14.4737378585724,7,-113.042674440037,240.085348880073,2.45605397642126,0.0127876554935552
"365",-1.06254163444964,28.6461168310039,NA,NA,0.151931377723502,0.553513991677702,NA,-0.0823099190335156,27.4206342262397,NA,5.31817920282369,7,-113.093745433517,240.187490867035,2.55819596338256,0.0121509735911122
"331",-1.60067114845757,25.2856957688771,NA,0.0878397927286713,NA,0.677899386793355,NA,NA,23.9013009333834,NA,5.13576167605473,6,-114.114176036647,240.228352073294,2.59905716964164,0.0119052406556216
"457",-1.58273768722472,27.8848355764018,NA,NA,NA,0.705977026441765,NA,NA,26.5574996382661,-0.107819293836628,5.51662343406642,6,-114.189305856604,240.378611713208,2.74931680955606,0.0110435757018378
"169",-0.941463577993611,3.17230271592389,NA,NA,NA,0.539437058454197,NA,-0.0924464172062656,NA,3.31100108034815,NA,5,-115.208931762837,240.417863525675,2.78856862202241,0.0108289485360124
"371",-0.16171912233733,29.0881136228678,NA,0.429822717708738,NA,NA,-0.368523760799951,-0.215680447175458,18.1704137352253,NA,15.3941001919959,7,-113.22377132072,240.447542641439,2.81824773778698,0.0106694381861131
"75",-1.59729830780766,6.42327363428862,NA,0.0901672954019365,NA,0.725244532184261,NA,NA,6.97830480159933,NA,NA,5,-115.281021816992,240.562043633984,2.93274873033175,0.0100757637766623
"109",-1.02947033907129,6.55426960296353,NA,NA,0.142181564552386,0.577580890484611,NA,-0.0869048828020083,7.02864830248215,NA,NA,6,-114.30003591564,240.60007183128,2.97077692762767,0.0098859920963899
"141",-1.62001243024537,3.52983927506815,NA,NA,0.178487574316281,0.741678358987603,NA,NA,NA,3.59764217390824,NA,5,-115.304377591657,240.608755183315,2.97946027966259,0.00984316336311558
"381",-0.91920528390261,28.0590035606192,NA,NA,0.126174454831832,0.571923597198827,-0.325387256495657,-0.10149346916206,17.7314730862442,NA,14.8673531168556,8,-112.323232200088,240.646464400176,3.01716949652379,0.00965931303166673
"363",-0.937567380163329,27.3833542467179,NA,0.118620243120231,NA,0.47530523580938,NA,-0.0990800138650998,25.8555626700816,NA,5.49913908911168,7,-113.352015070297,240.704030140593,3.07473523694134,0.0093852533112705
"201",-1.5765932888029,6.56557498810563,NA,NA,NA,0.754328543734059,NA,NA,7.42024208218525,-0.268038553871773,NA,5,-115.357998123166,240.715996246333,3.08670134268041,0.00932926849159009
"89",-1.57518290033645,6.40801471230929,NA,NA,NA,0.750756427957492,0.00968536909133254,NA,7.00618888046531,NA,NA,5,-115.359947528352,240.719895056704,3.09060015305209,0.00931109968215189
"330",-1.3017170375704,27.5736165888952,"+",NA,NA,0.598730163581142,NA,NA,26.0585261949036,NA,5.56352219078941,7,-113.373405265242,240.746810530485,3.11751562683284,0.00918663275258283
"355",-0.303993679577435,27.6526783144734,NA,0.33740956219494,NA,NA,NA,-0.192175053949281,17.464617911992,NA,14.6224738708384,6,-114.393132937486,240.786265874972,3.15697097132011,0.00900717780679473
"107",-0.924642727788376,6.26870166853584,NA,0.116668263930575,NA,0.51086205288592,NA,-0.100685143792656,6.74806200992039,NA,NA,6,-114.506528540513,241.013057081027,3.38376217737462,0.00804158489924689
"507",-0.681279349599094,52.9554419922973,NA,0.324228477774406,NA,0.392708840690886,-0.41319788644336,-0.14426934856697,37.5572147600731,-6.11934819950483,27.4275438453829,9,-111.525326577788,241.050653155576,3.42135825192383,0.00789183083758986
"335",-1.62971313338001,26.7562708075485,NA,0.0489398224041251,0.173493110298619,0.698143242440165,NA,NA,25.486621318712,NA,5.1448256651374,7,-113.572793843865,241.14558768773,3.51629278407836,0.00752597888969618
"74",-1.32701613644519,6.49054892500139,"+",NA,NA,0.636494379067783,NA,NA,7.0931486088566,NA,NA,6,-114.579407354273,241.158814708547,3.52951980489485,0.00747636997533094
"409",-1.59581108383529,18.6394424047241,NA,NA,NA,0.752041666991121,-0.289071409556131,NA,NA,11.3085800125593,10.4571515098435,6,-114.588342999876,241.176685999753,3.54739109610063,0.00740986137401599
"397",-1.66162850065859,15.2256643880715,NA,NA,0.201136657645471,0.720655764238171,NA,NA,NA,13.4177470164797,4.19188776821587,6,-114.593918008305,241.187836016611,3.55854111295878,0.00736866627261407
"499",-0.117506364442291,87.5814355350649,NA,0.457471262206077,NA,NA,-0.401374883748157,-0.228921058802298,60.7353942185907,-9.68601796006622,45.366720123266,8,-112.596103894138,241.192207788277,3.56291288462472,0.00735257680068166
"461",-1.62141085064071,25.3751801878779,NA,NA,0.183008913217731,0.715145123917832,NA,NA,23.8712111976374,0.313097327240114,4.9491734830504,7,-113.600734535726,241.201469071452,3.57217416779949,0.00731860836130631
"121",-0.916147355863716,6.1499330596492,NA,NA,NA,0.546576018613375,0.0237673992048251,-0.0972683487163412,6.69098151953386,NA,NA,6,-114.632501612745,241.265003225489,3.63570832183697,0.00708977154800425
"351",-1.63352199051264,27.7930514800174,NA,0.195686437900645,0.134078394489158,0.706153391411815,-0.358238362681318,NA,17.5683075289561,NA,14.7287910741267,8,-112.696618763026,241.393237526053,3.76394262240072,0.00664946212556537
"443",-0.837253160268721,106.126423702021,NA,0.289509423832834,NA,0.433432022067368,-0.411359222051869,-0.125989095722021,NA,57.8038514243955,58.3354939029313,8,-112.70140765186,241.40281530372,3.77352040006795,0.00661769471664896
"139",-1.57974071148374,2.99516232516302,NA,0.0970511912400277,NA,0.701932418092822,NA,NA,NA,3.10610357071618,NA,5,-115.74340857784,241.48681715568,3.85752225202774,0.00634550160503927
"383",-0.831905639025115,28.7052513808477,NA,0.256934245458177,0.0836633040770508,0.457988570760503,-0.392479196400704,-0.119007191516869,18.0183375587773,NA,15.200764098077,9,-111.748987487721,241.497974975442,3.86868007178941,0.00631019918949683
"9",-1.55432609490104,1.53006582436777,NA,NA,NA,0.747273061065872,NA,NA,NA,NA,NA,3,-117.749723632946,241.499447265892,3.87015236223979,0.00630555567585338
"393",-1.5632193523937,3.059140975254,NA,NA,NA,0.728925490062666,NA,NA,NA,3.02422047350426,0.453455155906763,5,-115.761330016737,241.522660033474,3.8933651298214,0.00623279404317904
"79",-1.63280160081623,6.74995084838416,NA,0.0547558667404388,0.1665523184593,0.73880418607057,NA,NA,7.24715384940712,NA,NA,6,-114.807837398484,241.615674796968,3.98637989331624,0.00594956038863619
"153",-1.55972050233162,3.14649938533729,NA,NA,NA,0.729065472649583,0.0122697048608871,NA,NA,3.32641159120137,NA,5,-115.828284311559,241.656568623119,4.02727371946659,0.00582914549614216
"489",-0.679175203415925,3.99649797749793,NA,NA,NA,0.595175816969053,NA,-0.136091033805277,7.75370817008143,-4.17073905604304,-0.854358148246617,7,-113.832305446929,241.664610893857,4.03531599020499,0.00580575277718098
"205",-1.62291880029962,6.93770917061096,NA,NA,0.172977832015825,0.757101147402552,NA,NA,7.71061643059719,-0.253522358537502,NA,6,-114.834716480161,241.669432960321,4.04013805666889,0.00579177177540138
"173",-1.0604579163153,3.50118245861656,NA,NA,0.151999145059919,0.567602083395329,NA,-0.0823485751360148,NA,3.53359312988216,NA,6,-114.836218705789,241.672437411578,4.04314250792552,0.00578307775922894
"93",-1.62219624957546,6.74773607763755,NA,NA,0.173141379250598,0.756329986527738,0.00150638598182462,NA,7.26995077065153,NA,NA,6,-114.837201057472,241.674402114944,4.04510721129151,0.0057773995325237
"441",-0.95373613344682,21.4188082653856,NA,NA,NA,0.569644389694296,-0.313998469367072,-0.0968519546143732,NA,12.6417935698346,11.9645497891129,7,-113.886197795148,241.772395590295,4.14310068664304,0.00550114876009968
"237",-0.779188575798517,3.11746397801886,NA,NA,0.0770087429020639,0.616123116315815,NA,-0.119709088499871,5.99464117839837,-3.3486246618863,NA,7,-113.891743399224,241.783486798447,4.15419189479536,0.00547072600136724
"41",-0.817879736575022,1.64795875614285,NA,NA,NA,0.539561896785284,NA,-0.113196732808331,NA,NA,NA,4,-116.910841581674,241.821683163349,4.19238825969657,0.00536723645472817
"475",-1.62104012193475,36.0437085695726,NA,0.242790606482384,NA,0.687304025885423,-0.357416738190254,NA,24.7142298093421,-2.60966486823398,18.8816238543646,8,-112.913171070074,241.826342140149,4.19704723649676,0.00535474809106283
"494",-0.780885548772901,119.575202064162,"+",NA,0.112742619520939,0.589361050060849,NA,-0.127575860388011,207.321091926387,-105.552432232389,-40.6192291984745,10,-110.914791187274,241.829582374549,4.20028747089643,0.00534607979530327
"413",-1.64056338516954,19.2672667938806,NA,NA,0.191057254083395,0.767706338794308,-0.316299337159527,NA,NA,11.5474304861634,10.7848836118267,7,-113.936852726199,241.873705452398,4.24441054874541,0.0052294285322502
"249",-0.713795995922425,2.93023445638836,NA,NA,NA,0.615605101897154,-0.0344309401550212,-0.125581248113089,5.7265393658424,-3.2122264139122,NA,7,-113.974963146335,241.949926292671,4.32063138901887,0.00503388264876336
"97",0.110513891931225,2.1200134397206,NA,NA,NA,NA,NA,-0.233902440363007,2.24436325729333,NA,NA,4,-116.986202189302,241.972404378604,4.34310947495166,0.00497762336782708
"235",-0.715508338973969,3.01568074741526,NA,-0.00545391394423974,NA,0.61059081355025,NA,-0.125114869107639,5.88844905346965,-3.27263973980313,NA,7,-113.986581458305,241.97316291661,4.34386801295821,0.00497573586753149
"477",-1.61618879588627,32.1751518291237,NA,NA,0.153511008972671,0.772781398282324,-0.313225487583869,NA,21.5852320591033,-1.60580016824708,16.9165718589201,8,-113.018818035489,242.037636070979,4.40834116732663,0.00481789299999565
"367",-1.04685777517085,27.7195932979248,NA,0.0768575382905705,0.137935541075604,0.519294533439659,NA,-0.0862809272821958,26.385667781948,NA,5.30141470269627,8,-113.033233022851,242.066466045703,4.43717114205072,0.00474894129622104
"334",-1.37982718713527,28.1539958886809,"+",NA,0.133619479031718,0.624726718887675,NA,NA,26.8074658633371,NA,5.41041054152374,8,-113.069054395448,242.138108790896,4.5088138872438,0.0045818384945404
"217",-1.55619593584422,2.85870809018449,NA,NA,NA,0.856324508677556,-0.0351297564276823,NA,5.54512000508565,-2.99378304724038,NA,6,-115.097687740298,242.195375480596,4.56608057694427,0.00445250558597394
"171",-0.9502303756573,3.04996891347851,NA,0.108229263785085,NA,0.502963253084734,NA,-0.0945965177419768,NA,3.11088611818236,NA,6,-115.098800485927,242.197600971854,4.56830606820202,0.00444755383537597
"459",-1.60048506478181,24.8909852815217,NA,0.089659095645022,NA,0.675695642630843,NA,NA,23.3245664691836,0.135805884183197,5.14879958692662,7,-114.117608836853,242.235217673707,4.60592277005466,0.00436468444331427
"425",-0.903077505470686,2.58621167361729,NA,NA,NA,0.522254365609793,NA,-0.0949426360595868,NA,2.39927850949012,0.67140638021945,6,-115.123755775745,242.247511551491,4.61821664783884,0.00433793728554988
"435",-0.26743810839158,95.7080650834701,NA,0.427944732915409,NA,NA,-0.383070870526547,-0.20843511285984,NA,51.8170033565534,52.6434030734852,7,-114.136975597834,242.273951195669,4.64465629201658,0.0042809679185295
"202",-1.32474332948411,3.09319334743702,"+",NA,NA,0.711446886370849,NA,NA,6.09473592624787,-3.29109709308345,NA,7,-114.157100937889,242.314201875778,4.68490697212565,0.00419567315535064
