"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"387",-1.35943699729421,161.137015978542,NA,0.357249315308484,NA,NA,NA,NA,NA,-218.556996625222,-189.776675390646,5,-131.209288246045,272.418576492091,0,0.075725646166233
"388",-1.28457447876779,80.9177134498471,"+",0.487997034321354,NA,NA,NA,NA,NA,-108.895933890391,-96.0794619876547,7,-129.373836951544,272.747673903089,0.329097410997917,0.064236281562562
"420",-0.869497420376734,72.1764168357671,"+",0.42096683585654,NA,NA,NA,-0.0734270384563277,NA,-96.9806857986433,-85.6731869568227,8,-128.992841997541,273.985683995082,1.56710750299158,0.0345899486510282
"415",-1.46909745803968,98.9148815300768,NA,0.248561799171642,0.340068448965394,0.0245452952520545,0.0943638221245717,NA,NA,-133.37736864612,-117.151086088135,8,-129.045063693313,274.090127386626,1.67155089453559,0.0328299576873803
"428",-0.879639039447044,124.196165324273,"+",0.419016620916853,NA,0.00880877922651634,NA,-0.0709241811446845,NA,-168.058924052293,-146.610387175777,9,-128.585570468998,275.171140937996,2.75256444590502,0.0191219074941952
"14",-1.38611230408836,2.18937306809742,"+",NA,0.49447905181337,0.545245249184353,NA,NA,NA,NA,NA,6,-131.858445108232,275.716890216464,3.29831372437275,0.0145553704375627
"5",-1.48484563327817,1.76389345046857,NA,NA,0.469061639164316,NA,NA,NA,NA,NA,NA,3,-134.889016310162,275.778032620323,3.35945612823269,0.0141171281959576
"389",-1.48852177329597,2.91493276086113,NA,NA,0.499319002079512,NA,NA,NA,NA,-2.46220859020052,-2.9843869415097,5,-133.108518646703,276.217037293405,3.79846080131449,0.0113349003127819
"391",-1.48180299615372,3.50200798780309,NA,0.255471302975298,0.436636711298156,NA,NA,NA,NA,-3.27746774336363,-3.79533651861203,6,-132.118774096358,276.237548192716,3.81897170062547,0.0112192498506394
"270",-1.34713865933247,2.3294853813181,"+",NA,0.477256874812091,0.541078755582555,NA,NA,NA,NA,-1.28909508907716,7,-131.150977089864,276.301954179727,3.88337768763637,0.0108637118395446
"417",-0.875841273550677,52.1443160641266,NA,NA,NA,NA,NA,-0.0799822248759788,NA,-70.0873373922777,-61.7415701029,5,-133.298992613352,276.597985226704,4.17940873461339,0.00936905767259953
"397",-1.48554231830384,3.18837472119742,NA,NA,0.534269833988779,0.223173626717688,NA,NA,NA,-2.81211329587391,-3.31706712546858,6,-132.330526044383,276.661052088767,4.24247559667617,0.00907822865562218
"30",-1.32623923288745,2.04999568586525,"+",NA,0.503963075680291,0.594095812821502,0.172024173306179,NA,NA,NA,NA,7,-131.368875008863,276.737750017725,4.31917352563454,0.00873667888451836
"7",-1.47347402224768,1.71648095331295,NA,0.182641718977811,0.417541788970553,NA,NA,NA,NA,NA,NA,4,-134.443364080667,276.886728161335,4.46815166924409,0.00810953926120722
"261",-1.49328941650839,2.08372618553082,NA,NA,0.489049993884774,NA,NA,NA,NA,NA,-1.05211341951184,4,-134.475693305205,276.95138661041,4.53281011831876,0.00785155680139647
"286",-1.27333392918359,2.21909722031776,"+",NA,0.485998804854476,0.60086342590475,0.203304047617381,NA,NA,NA,-1.37256757157343,8,-130.495543778086,276.991087556173,4.57251106408222,0.00769723641965744
"13",-1.50469617906421,1.86889893324476,NA,NA,0.508143929842928,0.168075508661123,NA,NA,NA,NA,NA,4,-134.496745954035,276.993491908069,4.57491541597852,0.00768798854706526
"421",-1.10108924529811,3.35564185168926,NA,NA,0.469998571915262,NA,NA,-0.0659475782442719,NA,-2.96288382944433,-3.44245590043064,6,-132.519934800013,277.039869600026,4.6212931079354,0.00751176408233386
"37",-1.19315761211332,1.84211387039375,NA,NA,0.453598870187897,NA,NA,-0.0508643786155455,NA,NA,NA,4,-134.54828182992,277.096563659841,4.67798716775013,0.00730181761899605
"407",-1.44007613136159,3.33548023362192,NA,0.28114572842751,0.452558065913032,NA,0.184661700058324,NA,NA,-3.21250786524249,-3.806705948936,7,-131.580015777375,277.160031554751,4.74145506266001,0.00707374016138111
"16",-1.42360337781464,2.20679052800358,"+",0.182351704574126,0.443800411358052,0.460830143877844,NA,NA,NA,NA,NA,7,-131.594869565852,277.189739131703,4.77116263961227,0.00696944482928313
"414",-1.24532888328114,2.72157760461587,"+",NA,0.50085864913369,0.565030007568895,0.249144953324602,NA,NA,-2.08756391929913,-2.87284636912398,9,-129.605441717698,277.210883435395,4.7923069433046,0.00689615092010594
"398",-1.34907515906417,2.89537359396247,"+",NA,0.497205177606507,0.503697399255273,NA,NA,NA,-2.14632061223001,-2.78457473695126,8,-130.611578363059,277.223156726119,4.80458023402804,0.00685396127140388
"78",-1.35751702110816,2.17277301278155,"+",NA,0.478705944602802,0.545069983835126,NA,NA,0.576098862178372,NA,NA,7,-131.639863396149,277.279726792298,4.86115030020699,0.0066628128140164
"405",-1.44176426965992,2.63843321929543,NA,NA,0.515227827321617,NA,0.164365150418386,NA,NA,-2.25985681188055,-2.88611946238815,6,-132.692497981982,277.384995963964,4.96641947187277,0.00632118792937159
"142",-1.38129923669789,2.26325644916507,"+",NA,0.487552418897075,0.550800568227359,NA,NA,NA,0.53259520679849,NA,7,-131.741745470472,277.483490940943,5.06491444885268,0.0060174264355431
"46",-1.23830361679626,2.20143295037119,"+",NA,0.477769982385747,0.486090167586661,NA,-0.0275771021571431,NA,NA,NA,7,-131.82304059527,277.64608119054,5.2275046984492,0.00554759522305105
"38",-0.715919991541486,2.15466148042292,"+",NA,0.368823273652425,NA,NA,-0.119200898016953,NA,NA,NA,6,-132.833510119766,277.667020239531,5.24844374744038,0.00548981751926897
"8",-1.40851321041994,2.01845466420967,"+",0.339823978334111,0.331425596288866,NA,NA,NA,NA,NA,NA,6,-132.851573054785,277.703146109569,5.28456961747855,0.00539154551448634
"69",-1.48473741213429,1.7741517475967,NA,NA,0.470078416693419,NA,NA,NA,0.192363043601314,NA,NA,4,-134.852195897364,277.704391794729,5.28581530263779,0.00538818847593178
"133",-1.64194676910863,21.3178487693003,NA,NA,0.463576195465772,NA,NA,NA,NA,-10.2635873040356,NA,4,-134.889256531837,277.778513063673,5.35993657158241,0.0051921538139668
"6",-1.30622008499663,1.91760213932787,"+",NA,0.386193536652657,NA,NA,NA,NA,NA,NA,5,-133.891665571453,277.783331142905,5.36475465081423,0.00517966076390523
"453",-1.47746603102364,3.06168843665889,NA,NA,0.493147432207747,NA,NA,NA,1.0726254658079,-2.83676584656446,-2.96726537550695,6,-132.914308011711,277.828616023423,5.41003953133173,0.00506369839426891
"455",-1.47625525396221,3.63903438361093,NA,0.254029071840636,0.43335678050386,NA,NA,NA,1.13622632244495,-3.59533809838306,-3.72680494558517,7,-131.941945964413,277.883891928827,5.46531543673603,0.00492566441228305
"416",-1.30090318635025,3.1208293641,"+",0.305675275536946,0.421755426314405,0.413926097411718,0.263400874642484,NA,NA,-2.72255885450298,-3.4395788595956,10,-128.943514356561,277.887028713122,5.4684522210315,0.00491794509393797
"413",-1.450913192239,3.00250847561276,NA,NA,0.549722213966636,0.217379096182296,0.151365120772059,NA,NA,-2.69550133520633,-3.27408027427251,7,-131.947561350268,277.895122700536,5.47654620844474,0.00489808242026046
"272",-1.38261110500928,2.34492026884713,"+",0.161328756924203,0.436075607790786,0.468496103624139,NA,NA,NA,NA,-1.24240367184387,8,-130.95100528559,277.902010571181,5.48343407908988,0.00488124275520331
"399",-1.47824058180169,3.42503949511451,NA,0.188429687228348,0.470414592608037,0.122176961388867,NA,NA,NA,-3.17129202116541,-3.68699312410602,7,-131.952226170548,277.904452341096,5.48587584900497,0.00487528695576211
"437",-1.01052714232127,3.05900599735111,NA,NA,0.489597243517409,NA,0.186039509916686,-0.0732783646916761,NA,-2.75556235299342,-3.32286948423342,7,-131.970653858715,277.94130771743,5.52273122533938,0.0047862694009186
"135",-1.45895692503798,1.83616115629673,NA,0.246219920813348,0.388541361397012,NA,NA,NA,NA,-0.684947778575893,NA,5,-134.035882425416,278.071764850831,5.65318835874058,0.00448403230895146
"408",-1.31169526803076,3.25940225559218,"+",0.460558716654827,0.337133667482646,NA,0.256669293180996,NA,NA,-3.02079133249985,-3.68439014658646,9,-130.041143819478,278.082287638955,5.66371114686444,0.00446050200337365
"392",-1.40825544401754,3.3913712339582,"+",0.39466193671116,0.347781386030737,NA,NA,NA,NA,-3.01258602795002,-3.57341382775567,8,-131.046870328454,278.093740656908,5.67516416481681,0.0044350318956166
"423",-1.33751490627252,3.53006453497013,NA,0.212545524385306,0.434646290395373,NA,NA,-0.0243117997687121,NA,-3.28121486921234,-3.79400669894478,7,-132.064833671787,278.129667343574,5.71109085148311,0.00435607518141087
"400",-1.40377157833539,3.1740581064645,"+",0.26233648804525,0.42802832741682,0.384045008821599,NA,NA,NA,-2.61423370512502,-3.22182340310066,9,-130.069703579263,278.139407158527,5.72083066643586,0.00433491306890558
"269",-1.5037667446141,2.12406264507306,NA,NA,0.519814126038234,0.160250290703753,NA,NA,NA,NA,-1.00020252789482,5,-134.107985757165,278.21597151433,5.79739502223907,0.0041720994686844
"32",-1.36276535722017,2.07346761259285,"+",0.181758064255204,0.45317667801221,0.50290708774281,0.169710570220589,NA,NA,NA,NA,8,-131.11841648098,278.23683296196,5.81825646986971,0.00412880762653298
"302",-1.25091778472819,2.33431193331841,"+",NA,0.467037206234054,0.502548746399501,NA,-0.0180258256465739,NA,NA,-1.27670702246938,8,-131.13545913065,278.270918261301,5.85234176920994,0.00405903802277395
"334",-1.34731729614354,2.32900765345966,"+",NA,0.477354902228581,0.541063602795425,NA,NA,-0.00380760211846557,NA,-1.29022684338364,8,-131.150974249228,278.301948498457,5.88337200636619,0.00399654759329646
