"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"334",-0.394584357615213,81.8232674730191,"+",NA,0.301573958368967,0.638313142172965,NA,NA,-58.9321752687389,NA,-21.8835205262171,8,-187.470153896521,390.940307793041,0,0.0591191110774512
"462",-0.381499393034037,34.5443276001209,"+",NA,0.292680440199032,0.643855467618776,NA,NA,-40.903214838181,21.3924835793255,-14.1393953576759,9,-187.019459880918,392.038919761836,1.09861196879467,0.0341324401538479
"350",-0.349399444342137,64.2204905175369,"+",NA,0.290359496345626,0.654979538970797,0.111579654222969,NA,-49.2692671447861,NA,-20.366849446786,9,-187.168299707703,392.336599415406,1.39629162236497,0.029412166916752
"335",-0.375488818520603,89.6927374669449,NA,-0.228031970243001,0.376378343380555,0.536373689614758,NA,NA,-64.7911268293341,NA,-24.1240659787602,7,-189.310289508968,392.620579017935,1.68027122489383,0.0255188814752829
"366",-0.184971986432788,74.1425178205378,"+",NA,0.28712757009989,0.576422311726749,NA,-0.0372701082460772,-54.8669545624762,NA,-21.3768925267982,9,-187.395933028774,392.791866057548,1.85155826450659,0.0234243272494406
"382",0.0199294143592524,150.87355177556,"+",NA,0.268244001559676,0.548899299941555,0.147330397512818,-0.0671533972139497,-108.447991714635,NA,-39.938866541874,10,-186.585321073678,393.170642147356,2.23033435431432,0.0193828191617804
"478",-0.339882213575485,34.0597830188919,"+",NA,0.281155177497165,0.653984815141598,0.111746932569056,NA,-40.3413720615802,20.6917784627374,-14.0842034587425,10,-186.634880449049,393.269760898097,2.32945310505607,0.018445633726634
"336",-0.363445346828862,46.631942373127,"+",-0.0753806517331917,0.312010060334158,0.668250475783856,NA,NA,-37.9970250290129,NA,-17.1949928145783,9,-187.682319879593,393.364639759186,2.42433196614473,0.0175910149512198
"464",-0.360590576173424,59.9591768159709,"+",-0.0558799844574787,0.298971404594218,0.657979153701766,NA,NA,-73.0263290045003,37.2126065735215,-25.6877528005734,10,-186.68919284078,393.37838568156,2.43807788851865,0.0174705271166221
"494",-0.130660604803942,39.8271035166873,"+",NA,0.272838790411781,0.556864520202747,NA,-0.0454301976507124,-47.529462501872,24.7851373853296,-16.4252598892611,10,-186.786171870436,393.572343740872,2.63203594783056,0.0158558143133996
"510",0.0714855792431388,124.611263983766,"+",NA,0.255462070525413,0.527710584493001,0.146037318573262,-0.0754598746611386,-152.040412017474,77.8449926248918,-52.8060659897933,11,-185.790127429689,393.580254859379,2.63994706633764,0.0157932195805725
"77",-0.332520276548983,4.36610810313232,NA,NA,0.260278698368849,0.331593180098712,NA,NA,-2.22336205336992,NA,NA,5,-191.821119612165,393.64223922433,2.7019314312887,0.0153112602992753
"330",-0.179099044012344,61.9242220658331,"+",NA,NA,0.60488046050543,NA,NA,-47.3561099708506,NA,-19.5027035685216,7,-189.915165580546,393.830331161092,2.89002336805089,0.0139369356455174
"461",-0.374179918953282,34.3768528268133,NA,NA,0.304604297565394,0.375465500675186,NA,NA,-40.4716596291638,20.995882111827,-14.0134534512706,7,-189.995396387244,393.990792774488,3.0504849814472,0.0128624440320498
"463",-0.37221815909974,28.368764659897,NA,-0.222879706925004,0.371403759334976,0.52911796914445,NA,NA,-32.567778190597,17.007992185742,-11.1780843107363,8,-189.094469636042,394.188939272085,3.24863147904341,0.0116492115673919
"346",-0.140640111446243,106.022581896223,"+",NA,NA,0.628333411118264,0.131212043361609,NA,-76.9533045948709,NA,-28.8954943038625,8,-189.145701831212,394.291403662423,3.35109586938211,0.0110674271795129
"351",-0.373272378853417,113.659519724647,NA,-0.227463220639997,0.378321713879393,0.535139599706373,0.0441467369807304,NA,-81.3708550272234,NA,-29.7562829620024,8,-189.166652557998,394.333305115996,3.39299732295524,0.0108379685915538
"352",-0.31612516983987,51.9929070255142,"+",-0.0720329268588037,0.296777478620872,0.693935356715383,0.113039997789522,NA,-39.2174919751171,NA,-15.778399745976,10,-187.229640810934,394.459281621868,3.51897382882657,0.0101763594187339
"368",-0.0981591214428504,79.3352450002989,"+",-0.107600131356742,0.302926360966888,0.603681565862936,NA,-0.0466178751093023,-57.0287278844227,NA,-21.0233306604794,10,-187.238482511455,394.476965022909,3.53665722986807,0.0100867796984704
"458",-0.173435806962034,31.9119731174006,"+",NA,NA,0.605188825575116,NA,NA,-37.5953176487855,19.7310664890439,-12.8301819555196,8,-189.251691298503,394.503382597006,3.5630748039647,0.00995442164251062
"78",-0.380035935301716,4.97416309254338,"+",NA,0.29445948777224,0.597913366615064,NA,NA,-2.33419433636624,NA,NA,7,-190.26407871292,394.52815742584,3.58784963279885,0.00983187269570832
"496",-0.0626658524758033,244.402021851324,"+",-0.0818615558154241,0.288064351744318,0.572411135516549,NA,-0.0543884546035669,-293.674720892239,159.187241176103,-99.6443093620465,11,-186.297749601857,394.595499203713,3.65519141067222,0.00950633611050218
"206",-0.391555567271751,10.9245190930279,"+",NA,0.309217472941813,0.646209698083394,NA,NA,-7.67634930541597,5.27733091533126,NA,8,-189.309724076028,394.619448152055,3.67914035901407,0.00939318156943218
"205",-0.334816810975365,5.20860115482017,NA,NA,0.261798378090448,0.336201804231822,NA,NA,-3.73585890312935,2.18134262332034,NA,6,-191.341424340687,394.682848681373,3.74254088833214,0.00910008538511498
"367",-0.168841884726761,65.6295864688627,NA,-0.25640718632536,0.366887365977188,0.480803934962951,NA,-0.0347402338061608,-46.8765438621826,NA,-17.1663394263312,8,-189.382718393366,394.765436786732,3.82512899369073,0.0087319590041549
"490",0.196256980083367,67.0108683575891,"+",NA,NA,0.481558582078249,NA,-0.071734924460882,-82.0087869279446,41.6882031249896,-28.9057562817129,9,-188.422370375645,394.844740751291,3.9044329582494,0.00839249422283805
"378",0.361298914181473,108.421324436689,"+",NA,NA,0.476163318899889,0.176042560329554,-0.0952706507083906,-78.2557273136152,NA,-29.0401688929499,9,-188.465792544876,394.931585089752,3.99127729671034,0.00803587259277475
"269",-0.358165686590708,5.09692626201844,NA,NA,0.288763659872066,0.347995003963251,NA,NA,NA,NA,2.30159920973778,5,-192.490519567973,394.981039135947,4.04073134290559,0.00783960593080987
"480",-0.330799391783465,40.5786157166772,"+",-0.047745537969923,0.291855916303905,0.67120932793652,0.108479583404265,NA,-48.4817256182326,25.1605865472043,-16.8525296022215,11,-186.509646324369,395.019292648738,4.078984855697,0.00769108459147541
"79",-0.346186688713632,4.56728378320917,NA,-0.129787659542758,0.315015106797044,0.433608840151985,NA,NA,-2.2842184581628,NA,NA,6,-191.579917837528,395.159835675056,4.21952788201497,0.00716917295239245
"101",0.254205319009132,4.36412019521432,NA,NA,0.193115876148723,NA,NA,-0.0984723181773701,-2.18330051389055,NA,NA,5,-192.595137930423,395.190275860845,4.24996806780399,0.00706088365113031
"238",0.0454006233257185,42.4726071583731,"+",NA,0.29739180105064,0.509995517252102,NA,-0.0838806411272922,-25.6797130163715,13.8020304091021,NA,9,-188.613374996722,395.226749993444,4.28644220040235,0.00693328093406171
"333",-0.338629149774805,4.98228482541674,NA,NA,0.265396247065677,0.3357244993799,NA,NA,-3.56806153904383,NA,-1.15111523400273,6,-191.616593866758,395.233187733517,4.29287994047542,0.00691099948359323
"398",-0.40364251331303,169.137045563977,"+",NA,0.329227688768214,0.659211810199121,NA,NA,NA,81.0965566757177,109.217809205454,8,-189.627912294643,395.255824589287,4.31551679624528,0.00683321884196765
"384",0.102444627202481,70.9088875419991,"+",-0.109409155352995,0.289208191667088,0.574442897035036,0.14861502754183,-0.0772062706698959,-51.652184086542,NA,-19.575761491757,11,-186.661949959419,395.323899918838,4.3835921257965,0.00660454585417564
"460",-0.199640553089513,159.495605328462,"+",0.0658088394006179,NA,0.578582278637277,NA,NA,-191.749307467533,109.172367802895,-66.3605801741258,9,-188.680362909994,395.360725819988,4.420418026947,0.00648404942952032
"506",0.394693263819059,47.3544067043411,"+",NA,NA,0.459033527830301,0.172578273451915,-0.102001167678698,-57.2839498319429,29.4408844442495,-19.9813195068943,10,-187.734546193405,395.469092386809,4.52878459376791,0.00614207076682383
"293",0.300690784351455,5.24941895903597,NA,NA,0.205528001588645,NA,NA,-0.108653179491295,NA,NA,2.37472169530457,5,-192.746677814133,395.493355628266,4.55304783522479,0.00606800765494365
"93",-0.330124175810882,4.37216962649005,NA,NA,0.261900819839691,0.330479434286653,0.0411059286367218,NA,-2.23094342651706,NA,NA,6,-191.762871639727,395.525743279453,4.58543548641205,0.00597053475693224
"474",-0.147965609551958,31.2994336361526,"+",NA,NA,0.630314744814357,0.125146632952419,NA,-37.3662603822402,19.5564888686158,-13.0921517097759,9,-188.76524881695,395.5304976339,4.59018984085861,0.00595635859399883
"109",-0.193543524219848,4.33558410484716,NA,NA,0.247148015389807,0.280741451365331,NA,-0.0231780519584822,-2.20064205139194,NA,NA,6,-191.776703774118,395.553407548236,4.61309975519515,0.00588851805845247
"97",0.368446035418464,4.16863568000272,NA,NA,NA,NA,NA,-0.107363510867632,-2.14853172690464,NA,NA,4,-193.784762598446,395.569525196891,4.62921740385002,0.00584125422712148
"362",0.147740205111992,44.1427546807201,"+",NA,NA,0.501713597904924,NA,-0.0624304112995416,-32.6512965241077,NA,-12.8121420192448,8,-189.805519601832,395.611039203663,4.67073141062212,0.0057212569932469
"512",0.133837316164846,60.5827077622759,"+",-0.0883209635475536,0.272860268596777,0.550884821581858,0.146869174655903,-0.0827030830194632,-73.8821934286877,37.6073306640244,-26.028397508553,12,-185.858407652587,395.716815305174,4.77650751213281,0.00542653324096426
