"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"280",0.2604265237685,1.81915864505845,"+",-0.395774243928472,-0.593233403771803,NA,-0.412487443924064,NA,NA,NA,-0.733749669456337,8,-170.091760227257,356.183520454514,0,0.022258275553351
"267",-0.266523236976341,2.02957459728659,NA,-0.305693317247788,NA,0.56395791904627,NA,NA,NA,NA,-0.830724504892539,5,-173.20837545727,356.416750914541,0.233230460026391,0.0198082525125726
"288",0.222225894517789,1.84987263690976,"+",-0.486017521806277,-0.544043658734562,0.308220197900137,-0.388552188885622,NA,NA,NA,-0.771077674678301,9,-169.284580289261,356.569160578523,0.385640124008376,0.0183548494068489
"24",0.264039061324953,1.72822072853262,"+",-0.390203990733339,-0.595118824112794,NA,-0.414413573517581,NA,NA,NA,NA,7,-171.421148351505,356.84229670301,0.658776248495883,0.0160117967940443
"265",-0.249237407956788,1.94421749638653,NA,NA,NA,0.394173252534412,NA,NA,NA,NA,-0.774088581529526,4,-174.489761534063,356.979523068127,0.796002613612586,0.0149500189536319
"297",-1.15528839564156,1.968881775719,NA,NA,NA,0.719710359723589,NA,0.151969180023395,NA,NA,-0.858023441121784,5,-173.569869904338,357.139739808676,0.956219354161533,0.0137991113803677
"11",-0.295489641490135,1.97320877814736,NA,-0.289686426394602,NA,0.53659856853686,NA,NA,NA,NA,NA,4,-174.60576133171,357.21152266342,1.02800220890583,0.013312624159891
"271",-0.200311496295204,1.88777648862534,NA,-0.291095952063732,-0.21113829904346,0.544357989649736,NA,NA,NA,NA,-0.818061256992471,6,-172.630013756232,357.260027512464,1.07650705795004,0.0129936443982016
"32",0.226636301103679,1.75389186454078,"+",-0.474034221060514,-0.548851200559487,0.282254722557761,-0.396404514885671,NA,NA,NA,NA,8,-170.711219530294,357.422439060588,1.23891860607318,0.011980191426592
"269",-0.187347675864201,1.80836883157725,NA,NA,-0.226097061257793,0.37182288649663,NA,NA,NA,NA,-0.767180105517164,5,-173.75889803415,357.5177960683,1.33427561378568,0.0114223968906489
"9",-0.271394994221722,1.88862901590444,NA,NA,NA,0.376021414511338,NA,NA,NA,NA,NA,3,-175.770978061029,357.541956122057,1.35843566754278,0.0112852441017351
"408",0.260699611579377,1.92999520635726,"+",-0.387266075161007,-0.596208824239573,NA,-0.421880275340954,NA,NA,0.324931796188041,-0.723309502252772,9,-169.89543521273,357.79087042546,1.60734997094556,0.00996460076332306
"152",0.262883269329576,1.90224368446801,"+",-0.377596694018515,-0.599196611669323,NA,-0.42703070475553,NA,NA,0.517699414840997,NA,8,-170.902580989233,357.805161978467,1.62164152395241,0.00989364975525454
"299",-0.821534630303316,2.00600027917785,NA,-0.241785304174497,NA,0.730170588984878,NA,0.0943651617370903,NA,NA,-0.859631517359632,6,-172.903461718126,357.806923436252,1.62340298173814,0.00988493996810279
"320",-0.425092491216556,1.8609627746696,"+",-0.4358540173674,-0.488108523233416,0.495466951459549,-0.412388466230282,0.110836303962429,NA,NA,-0.791725557555152,10,-168.942522499707,357.885044999414,1.70152454489954,0.00950627020050242
"287",-0.141898861354701,1.83278924541074,NA,-0.352057612343241,-0.295878654981279,0.562326790267487,-0.211362541574817,NA,NA,NA,-0.806071729790134,7,-172.004343323353,358.008686646706,1.82516619219206,0.00893638172351821
"312",0.416496347796002,1.82155233444131,"+",-0.421975173408384,-0.597082942154382,NA,-0.401614491971378,-0.0280685450816945,NA,NA,-0.732500587177735,9,-170.046679531416,358.093359062831,1.90983860831682,0.00856594595806505
"283",-0.246829708606502,1.98120547019236,NA,-0.337808551328698,NA,0.569140091249883,-0.100630786429397,NA,NA,NA,-0.816005833537491,6,-173.05214142083,358.104282841659,1.92076238714486,0.0085192872468704
"344",0.260397821204352,1.8205675566211,"+",-0.395835200034038,-0.59345015180624,NA,-0.412736128097282,NA,0.0160563971105206,NA,-0.726259811978329,9,-170.091129814038,358.182259628076,1.99873917356189,0.00819352565109108
"416",0.224458808139923,1.94660411015166,"+",-0.476969188478225,-0.54857131252642,0.298350031858172,-0.398532746877403,NA,NA,0.294802680138704,-0.763072324663594,10,-169.119367914405,358.238735828811,2.05521537429632,0.0079653922375877
"331",-0.266599753251585,2.04730292499351,NA,-0.304607491976128,NA,0.54672386539979,NA,NA,-0.255295609511385,NA,-0.970788920933956,6,-173.127627849867,358.255255699734,2.07173524521966,0.00789986959072704
"41",-1.01931523888116,1.87593916992395,NA,NA,NA,0.643511146858905,NA,0.124891844959599,NA,NA,NA,4,-175.14965674137,358.29931348274,2.11579302822543,0.00772774701585625
"88",0.261978402407606,1.77064707313227,"+",-0.391979710091083,-0.598367824309081,NA,-0.41863204810479,NA,0.26727667114289,NA,NA,8,-171.173756528287,358.347513056574,2.16399260205924,0.00754373617647042
"15",-0.235193489259307,1.81914937831423,NA,-0.273894518599476,-0.183952559694102,0.512403781700033,NA,NA,NA,NA,NA,5,-174.181917011411,358.363834022822,2.18031356830761,0.00748242614468589
"13",-0.21636748410304,1.75365721536266,NA,NA,-0.201713391215683,0.355491108589794,NA,NA,NA,NA,NA,4,-175.188307113374,358.376614226748,2.19309377223402,0.00743476512027207
