"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"242",1.73118618604541,60.6319734344644,"+",NA,NA,NA,0.373089455389088,-0.3169050843749,-12.8527162123574,50.1318659855928,NA,8,-148.790925890592,313.581851781184,0,0.0262023097088157
"250",1.01902091825302,83.0793525489306,"+",NA,NA,0.418222111421694,0.317817223221253,-0.191598198390421,-17.4250160737149,68.9968514785595,NA,9,-147.836307871532,313.672615743064,0.0907639618806684,0.0250397755558238
"218",-0.0679503025949159,65.5229408047164,"+",NA,NA,0.77101309788784,0.222891103247013,NA,-13.8134745458447,54.3117689840099,NA,8,-149.099526143845,314.199052287689,0.61720050650564,0.0192449234766043
"202",-0.0792045164422101,76.219714588401,"+",NA,NA,0.728036035022852,NA,NA,-15.9594287954432,63.2844871487447,NA,7,-150.130900200232,314.261800400464,0.679948619280196,0.0186505055706155
"33",0.802955916205303,2.91576233389492,NA,NA,NA,NA,NA,-0.160352573996049,NA,NA,NA,3,-154.427225156199,314.854450312398,1.27259853121399,0.0138675045090495
"50",1.58862251786227,10.9506408288972,"+",NA,NA,NA,0.358993003832413,-0.291679202591982,NA,NA,NA,6,-151.550060274792,315.100120549585,1.51826876840124,0.0122645523576899
"222",-0.199132353795451,129.266316587997,"+",NA,0.159641109231335,0.751731838151501,0.243314213229985,NA,-26.151910363805,107.568841729688,NA,9,-148.571726261013,315.143452522027,1.56160074084318,0.0120016866404832
"49",0.870322634346107,2.99168945994049,NA,NA,NA,NA,0.190295522351323,-0.171826024837593,NA,NA,NA,4,-153.687435463499,315.374870926998,1.79301914581401,0.0106903128555794
"498",1.73404084937556,78.0760004061156,"+",NA,NA,NA,0.373844569710499,-0.317419000330828,-16.4880376261814,64.4872643489319,-0.238710005180122,9,-148.719695366248,315.439390732495,1.85753895131154,0.0103509477757047
"13",-0.344682061642254,6.24421573295169,NA,NA,0.24785406505816,0.488461557461022,NA,NA,NA,NA,NA,4,-153.730534135992,315.461068271985,1.87921649080113,0.010239362054505
"234",0.512816915778933,59.3406402648353,"+",NA,NA,0.53151657835908,NA,-0.104489674626886,-12.6148841486374,49.1928908773939,NA,8,-149.762186120317,315.524372240633,1.94252045944961,0.00992034137970812
"254",0.94431371602104,110.531214662381,"+",NA,0.0250308081793633,0.432272897127993,0.316606957136212,-0.182078145276628,-23.1497608887541,92.457170931758,NA,10,-147.802942975644,315.605885951289,2.02403417010527,0.00952414809962997
