"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"84",-1.10597191465851,2.70695015926676,"+",1.39174610245837,NA,NA,0.912008428755788,NA,-2.92716489855242,NA,NA,7,-110.281578309091,234.563156618182,0,0.0566379294165241
"116",-0.053633598503911,2.92555617561376,"+",1.06215964715233,NA,NA,0.987061061708907,-0.167332554233913,-3.10577708759892,NA,NA,8,-109.330119708224,234.660239416448,0.0970827982658875,0.0539543054340376
"83",-0.967425385768332,2.43231689734396,NA,0.68889000056842,NA,NA,0.56976171000136,NA,-2.46137966756549,NA,NA,5,-112.561215100373,235.122430200747,0.559273582564998,0.0428215765484439
"372",-0.0104545320998518,4.00811187297439,"+",1.07251471966289,NA,NA,1.01193964217196,-0.175248894032335,-4.32084732480308,NA,-0.981715746414892,9,-108.741863847589,235.483727695178,0.920571076996026,0.035744390699096
"124",0.963717975778648,2.90471805031632,"+",1.05034767257818,NA,-0.441640418209304,1.12387699876556,-0.336001422901415,-3.09874633229502,NA,NA,9,-108.795279518359,235.590559036719,1.02740241853704,0.0338851776916778
"340",-1.11222413153082,3.66101598199877,"+",1.4269381957897,NA,NA,0.957648400139653,NA,-3.97359947239177,NA,-0.82752143614675,8,-109.880448827559,235.760897655119,1.19774103693717,0.0311186828435897
"244",-0.00987713650126148,3.29317580162913,"+",1.08010428142542,NA,NA,1.01097390413488,-0.175870042301259,-2.94989232168202,0.968739277335305,NA,9,-108.904481410484,235.808962820969,1.24580620278718,0.0303797354899157
"212",-1.1153944121184,3.03673244825027,"+",1.43570516351384,NA,NA,0.958488637355684,NA,-2.85909650928338,0.723870565322254,NA,8,-110.059405808981,236.118811617963,1.55565499978113,0.0260196336105537
"92",-1.09737916757992,2.81098206151039,"+",1.31046761740936,NA,0.121357646708721,0.906591251342209,NA,-3.01094037187324,NA,NA,8,-110.178267385333,236.356534770666,1.79337815248405,0.023103631560057
"380",0.995741724459082,3.9860795595591,"+",1.06228402644245,NA,-0.431086883179784,1.15089518496306,-0.342171324733,-4.31109628338165,NA,-0.963819886025647,10,-108.231202576843,236.462405153687,1.89924853550502,0.0219124424535936
"88",-1.09717787227862,2.7011050557085,"+",1.39664021871409,-0.0160330420995145,NA,0.907648148790841,NA,-2.92176891260928,NA,NA,8,-110.27896136112,236.557922722239,1.99476610405762,0.0208905277759785
"91",-0.93725685790898,2.39283620865301,NA,0.867988339160192,NA,-0.176692389141383,0.61752238693735,NA,-2.47213104271399,NA,NA,6,-112.30399316561,236.60798633122,2.04482971303818,0.0203740908095373
"120",-0.0346706914960431,2.92393616296118,"+",1.06772025657256,-0.0253988778337126,NA,0.980831358008927,-0.168058096004641,-3.10365546163708,NA,NA,9,-109.323400599556,236.646801199113,2.08364458093078,0.0199824942215048
"252",1.00494844931711,3.28200063757503,"+",1.06729948116411,NA,-0.433442553743115,1.15083754209882,-0.344134593159964,-2.96083937260709,0.952206546661753,NA,10,-108.388765597943,236.777531195885,2.21437457770355,0.0187181118444788
"339",-0.967941794309423,2.60079982710205,NA,0.688226137414471,NA,NA,0.577686626879036,NA,-2.67652565461695,NA,-0.271327824282809,6,-112.503818168466,237.007636336933,2.44447971875104,0.0166838140761312
"87",-0.978590194366542,2.4567925300093,NA,0.671197712616485,0.0513778606601262,NA,0.596452750689602,NA,-2.47741078118996,NA,NA,6,-112.527516256676,237.055032513352,2.49187589517041,0.016293087599543
"115",-0.862609298758406,2.44830027608891,NA,0.637423995659197,NA,NA,0.570391479582393,-0.0173239067818069,-2.46093620562996,NA,NA,6,-112.551356800562,237.102713601124,2.5395569829422,0.0159092452154425
"211",-0.967392852529175,2.43328401441062,NA,0.688852867280039,NA,NA,0.569576526480746,NA,-2.46574925836333,-0.00849209557857601,NA,6,-112.561142150401,237.122284300802,2.55912768261996,0.0157543268865163
