"","y.1","y.2","y.3","y.4","y.5"
"6056",0,0,0,NA,NA
"6890",1,0,0,NA,NA
"7056",0,0,1,0,0
"7057",0,0,0,0,0
"7059",0,NA,NA,NA,NA
"7389",0,NA,NA,NA,NA
"7566",0,NA,NA,NA,NA
"7718",1,NA,NA,NA,NA
"7719",0,NA,NA,NA,NA
"7729",1,0,0,NA,NA
"7731",0,NA,NA,NA,NA
"7886",0,NA,NA,NA,NA
"7894",0,0,0,0,NA
"7896",0,0,0,0,0
"7898",0,NA,NA,NA,NA
"7899",0,0,0,NA,NA
"7900",0,0,NA,NA,NA
"8057",0,NA,NA,NA,NA
"8064",0,NA,NA,NA,NA
"8219",0,NA,NA,NA,NA
"8232",0,NA,NA,NA,NA
"8233",1,NA,NA,NA,NA
"8234",0,NA,NA,NA,NA
"8396",0,0,0,0,1
"8397",0,0,0,0,0
"8398",1,0,0,0,0
"8399",0,0,NA,NA,NA
"8401",0,NA,NA,NA,NA
"8560",0,0,NA,NA,NA
"8562",0,0,0,0,0
"8563",1,NA,NA,NA,NA
"8564",0,NA,NA,NA,NA
"8567",0,0,0,0,0
"8568",1,0,1,NA,NA
"8721",1,NA,NA,NA,NA
"8735",0,0,NA,NA,NA
"8740",1,1,NA,NA,NA
"8742",0,NA,NA,NA,NA
"8889",0,NA,NA,NA,NA
"8894",0,0,0,0,0
"8895",0,0,NA,NA,NA
"8898",0,NA,NA,NA,NA
"8900",0,0,0,0,1
"8901",0,0,0,1,0
"8902",0,1,0,0,1
"8907",0,0,NA,NA,NA
"9059",0,NA,NA,NA,NA
"9064",0,1,0,NA,NA
"9065",0,0,1,0,0
"9066",1,NA,NA,NA,NA
"9067",0,1,0,0,1
"9068",0,1,NA,NA,NA
"9070",0,NA,NA,NA,NA
"9071",0,1,NA,NA,NA
"9072",0,0,0,NA,NA
"9222",0,NA,NA,NA,NA
"9223",0,NA,NA,NA,NA
"9229",0,NA,NA,NA,NA
"9230",0,1,NA,NA,NA
"9231",0,NA,NA,NA,NA
"9232",0,1,0,NA,NA
"9233",0,0,0,0,0
"9234",0,1,0,0,0
"9235",0,NA,NA,NA,NA
"9236",0,0,0,NA,NA
"9237",1,NA,NA,NA,NA
"9389",1,NA,NA,NA,NA
"9391",0,NA,NA,NA,NA
"9400",0,0,NA,NA,NA
"9403",0,NA,NA,NA,NA
"9405",0,NA,NA,NA,NA
"9552",0,NA,NA,NA,NA
"9554",0,1,NA,NA,NA
"9555",0,NA,NA,NA,NA
"9557",0,NA,NA,NA,NA
"9725",0,NA,NA,NA,NA
"9726",0,NA,NA,NA,NA
"9729",0,NA,NA,NA,NA
"9730",0,0,NA,NA,NA
"9894",0,NA,NA,NA,NA
"9895",0,0,0,0,0
"9896",1,0,0,0,0
"10059",1,0,NA,NA,NA
"10060",0,1,NA,NA,NA
"10062",0,0,0,0,0
"10223",0,0,0,NA,NA
"10228",0,NA,NA,NA,NA
"10385",0,0,NA,NA,NA
"10387",1,NA,NA,NA,NA
"10389",0,0,1,1,0
"10394",0,0,0,0,NA
"11056",1,0,0,0,1
"11057",0,0,0,0,0
"11058",0,NA,NA,NA,NA
"11222",0,NA,NA,NA,NA
"11223",0,0,0,NA,NA
"11389",0,0,0,0,0
"11390",0,NA,NA,NA,NA
"11707",0,NA,NA,NA,NA
"11887",0,0,0,NA,NA
"12046",0,NA,NA,NA,NA
"12053",0,NA,NA,NA,NA
"12211",1,NA,NA,NA,NA
"12212",0,0,0,0,0
"12213",1,0,0,0,0
"12380",0,NA,NA,NA,NA
