"","y.1","y.2","y.3","y.4","y.5"
"5886",0,NA,NA,NA,NA
"6557",1,0,1,1,0
"6889",0,NA,NA,NA,NA
"6892",0,0,NA,NA,NA
"7056",0,1,0,1,NA
"7057",0,1,1,0,0
"7058",0,0,NA,NA,NA
"7222",0,NA,NA,NA,NA
"7223",0,1,0,0,0
"7389",0,NA,NA,NA,NA
"7391",0,0,0,NA,NA
"7554",0,NA,NA,NA,NA
"7717",0,NA,NA,NA,NA
"7718",0,0,NA,NA,NA
"7720",1,1,NA,NA,NA
"7721",0,1,0,0,1
"7735",0,0,NA,NA,NA
"7886",1,0,NA,NA,NA
"7887",1,NA,NA,NA,NA
"8052",0,NA,NA,NA,NA
"8053",0,0,1,NA,NA
"8054",0,NA,NA,NA,NA
"8219",1,NA,NA,NA,NA
"8887",1,1,NA,NA,NA
"9053",0,0,1,NA,NA
"9385",0,NA,NA,NA,NA
"9551",0,NA,NA,NA,NA
"9552",0,NA,NA,NA,NA
"9555",1,NA,NA,NA,NA
"9718",0,0,0,NA,NA
"9887",0,NA,NA,NA,NA
"9895",0,0,0,0,0
"10060",1,1,NA,NA,NA
"10381",0,NA,NA,NA,NA
"10389",0,1,0,NA,NA
"10725",0,0,1,NA,NA
"10726",0,0,0,0,NA
"10887",1,NA,NA,NA,NA
"10892",0,NA,NA,NA,NA
"11056",1,0,1,0,0
"11057",0,0,NA,NA,NA
"11058",1,NA,NA,NA,NA
"11210",0,0,0,0,1
"11223",0,0,0,0,0
"11377",0,0,0,NA,NA
"11378",0,0,NA,NA,NA
"11389",1,NA,NA,NA,NA
"11542",0,NA,NA,NA,NA
"11880",0,0,0,NA,NA
"11882",0,NA,NA,NA,NA
"12046",0,NA,NA,NA,NA
"13210",0,0,0,0,0
