"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Camp_terr_outcrop","Camp_all_outcrop","Cret_outcrop"
"1",183032,713.072570800781,84,27.6666660308838,4.375,713.072570800781,713.072570800781,0,4,0.860000014305115,1,1
"2",183864,667.726623535156,53.4,27.7666667938232,4.69166660308838,677.146423339844,643.302185058594,33.84423828125,5,1,1,1
"3",183865,681.23600769043,46.5,27.7916665077209,4.71041655540466,696.988159179688,671.166198730469,25.8219604492188,4,1,1,1
"4",183867,706.367309570312,58,27,4.90833330154419,706.367309570312,706.367309570312,0,1,1,1,1
"5",183869,693.900227864583,74.6666666666667,26.6111113230387,4.91666650772095,736.08544921875,672.8076171875,63.27783203125,2,0.689999997615814,1,1
"6",184692,726.812072753906,94,27.6666660308838,4.40833330154419,726.812072753906,726.812072753906,0,2,0.280000001192093,1,1
"7",184694,675.246322631836,61,27.7083334922791,4.70208323001862,699.013732910156,655.963623046875,43.0501098632812,4,1,1,1
"8",184695,656.150131550241,60.8085106382979,27.7783686049441,4.95895401467668,705.569702148438,643.768188476562,61.801513671875,15,1,1,1
"9",184696,682.633619520399,58.7777777777778,27.7638892067803,4.87777794731988,730.628173828125,642.271667480469,88.3565063476562,10,1,1,1
"10",184697,697.766947428385,56.6666666666667,27.7777779897054,4.88611125946045,727.317077636719,666.584289550781,60.7327880859375,3,0.330000013113022,1,1
"11",184706,697.818603515625,80,25.1666660308838,4.21666669845581,697.818603515625,697.818603515625,0,1,1,1,1
"12",184709,625.058227539062,51,25.75,4.66666650772095,625.058227539062,625.058227539062,0,1,1,1,1
"13",184710,653.258937290737,60.3571428571429,25.4999994550432,4.70178600719997,730.135437011719,643.309631347656,86.8258056640625,4,0.899999976158142,0.899999976158142,0.899999976158142
"14",185524,738.983546665737,94.0714285714286,27.8392857142857,4.36488097054618,753.261413574219,731.820678710938,21.4407348632812,11,0.579999983310699,1,1
"15",185531,770.759948730469,83,26.0833339691162,4.29166698455811,770.759948730469,770.759948730469,0,1,0.529999971389771,1,1
"16",186354,761.998962402344,87,28.1666660308838,4.47499990463257,761.998962402344,761.998962402344,0,6,0.980000019073486,1,1
"17",187187,752.419738769531,79,27.3333339691162,4.68333339691162,752.419738769531,752.419738769531,0,1,0.939999997615814,1,1
"18",187189,777.550048828125,84,26.9166660308838,4.44999980926514,777.550048828125,777.550048828125,0,1,1,1,1
"19",187197,710.286173502604,76,26.4444446563721,4.49722226460775,731.020385742188,668.817749023438,62.20263671875,2,0.610000014305115,1,1
"20",189673,748.27783203125,92,28,5.33333349227905,748.27783203125,748.27783203125,0,1,1,1,1
"21",190509,736.613037109375,52,26.5833339691162,5.78333330154419,736.613037109375,736.613037109375,0,1,1,1,1
"22",190513,693.816101074219,85,26.9166660308838,5.55833339691162,693.816101074219,693.816101074219,0,1,1,1,1
"23",191334,714.912292480469,73,28,5.98333311080933,714.912292480469,714.912292480469,0,1,1,1,1
"24",191336,722.446411132812,74,27.1666660308838,5.88333320617676,722.446411132812,722.446411132812,0,1,1,1,1
"25",191348,762.8564453125,73,28.5833339691162,5.27500009536743,762.8564453125,762.8564453125,0,1,0.560000002384186,1,1
"26",192164,799.202941894531,86,29.3333339691162,5.55833339691162,799.202941894531,799.202941894531,0,1,1,1,1
"27",192977,939.564331054688,90,34.6666679382324,5.71666669845581,939.564331054688,939.564331054688,0,1,0,0,1
"28",192994,804.537292480469,96,29.4166660308838,5.65833330154419,804.537292480469,804.537292480469,0,1,1,1,1
"29",194657,843.47705078125,79,29.5833339691162,5.77500009536743,843.47705078125,843.47705078125,0,1,1,1,1
"30",194661,820.980895996094,81,28.6666660308838,5.40000009536743,820.980895996094,820.980895996094,0,1,1,1,1
"31",195487,894.841613769531,90,30.75,5.46666669845581,894.841613769531,894.841613769531,0,1,1,1,1
"32",196325,1005.32092285156,55,29.8333339691162,4.19999980926514,1005.32092285156,1005.32092285156,0,1,0.419999986886978,1,1
"33",197135,1235.17517089844,98,36.75,4.63333320617676,1235.17517089844,1235.17517089844,0,2,0.5,1,1
"34",197138,1013.28289794922,86,34.5,6.05833339691162,1013.28289794922,1013.28289794922,0,2,1,1,1
"35",197139,1018.54699707031,86,34.5833320617676,6.02500009536743,1018.54699707031,1018.54699707031,0,7,1,1,1
"36",197154,920.404541015625,50,29.25,4.96666669845581,920.404541015625,920.404541015625,0,1,1,1,1
"37",197155,978.264404296875,72,29.9166660308838,4.32499980926514,978.264404296875,978.264404296875,0,1,0.899999976158142,1,1
"38",197965,1183.45751953125,86,34.25,5.10833311080933,1183.45751953125,1183.45751953125,0,1,1,1,1
"39",197981,963.319946289062,72,28.25,5.64166641235352,963.319946289062,963.319946289062,0,4,0.889999985694885,1,1
