"","cells","mean_max_ptemp","mean_min_ptemp","mean_max_pprec","mean_min_pprec","mean_PDEM","plat"
"1",183032,-520.943969726562,-563.955810546875,14054301696,7405366272,680,57.8893
"2",183864,-520.916137695312,-563.934057617187,13994222592,7391972556.8,680,57.7651
"3",183865,-520.92724609375,-563.942749023438,14018253824,7397329920,680,57.758775
"4",183867,-521.010681152344,-564.007995605469,14198490112,7437510144,680,57.7127
"5",183869,-521.031087239583,-564.023966471354,14242547712,7447332010.66667,680,57.7023666666667
"6",184692,-520.843872070312,-563.877563476562,13838018560,7357150208,680,57.731
"7",184694,-520.913360595703,-563.931884765625,13988214784,7390633216,680,57.738875
"8",184695,-520.863255926903,-563.892693052901,13879945444.766,7366496882.38298,680,57.6903946808511
"9",184696,-520.889414469401,-563.913160536024,13936480540.4444,7379100216.88889,680,57.6567833333333
"10",184697,-520.911499023438,-563.930440266927,13984209578.6667,7389740373.33333,680,57.6573666666667
"11",184706,-519.720947265625,-562.435424804688,12664768512,7096446976,480,57.476
"12",184709,-519.641906738281,-562.295471191406,12667653120,7097207808,480,57.3282
"13",184710,-519.622619628906,-562.26123046875,12668357632,7097393664,480,57.3335642857143
"14",185524,-520.80870274135,-563.850071498326,13762061385.1429,7340216868.57143,680,57.6353714285714
"15",185531,-519.847351074219,-562.659301757812,12660154368,7095229952,560,57.4445
"16",186354,-520.72705078125,-563.786193847656,13585687552,7300897792,680,57.5684
"17",187187,-519.973815917969,-562.883239746094,12655539200,7094012928,360,57.4011
"18",187189,-519.873718261719,-562.705993652344,12659192832,7094976000,560,57.313
"19",187197,-519.66298421224,-562.332763671875,12666884096,7097004544,506.666666666667,57.1672666666667
"20",189673,-519.9580078125,-562.855285644531,12656116736,7094164992,360,57.1499
"21",190509,-519.763061523438,-562.510070800781,12663230464,7096040960,360,56.962
"22",190513,-519.678771972656,-562.360778808594,12666307584,7096852480,560,56.8583
"23",191334,-519.84912109375,-562.662414550781,12660089856,7095213056,360,56.9723
"24",191336,-519.812255859375,-562.597106933594,12661436416,7095567872,360,56.9179
"25",191348,-519.573425292969,-562.174133300781,12670152704,7097866752,560,56.6534
"26",192164,-519.805236816406,-562.584655761719,12661692416,7095635456,360,56.8641
"27",192977,-519.893798828125,-562.691528320312,12270682112,7273531904,360,57.1888
"28",192994,-519.7490234375,-562.485168457031,12663743488,7096176640,360,56.7862
"29",194657,-519.573425292969,-562.174133300781,12670152704,7097866752,760,56.4879
"30",194661,-519.559387207031,-562.149291992188,12670665728,7098001920,760,56.4923
"31",195487,-519.576965332031,-562.180358886719,12670024704,7097832960,760,56.469
"32",196325,-519.427673339844,-561.916015625,12675472384,7099269632,760,56.1698
"33",197135,-519.535522460938,-562.127136230469,12363147264,7145059840,360,56.5578
"34",197138,-519.536743164062,-562.122436523438,12521688064,7115373568,400,56.4761
"35",197139,-519.536743164062,-562.122436523438,12521688064,7115373568,400,56.4717
"36",197154,-519.380310058594,-561.83203125,12677202944,7099726336,760,56.0716
"37",197155,-519.427673339844,-561.916015625,12675472384,7099269632,760,56.1194
"38",197965,-519.446655273438,-561.98193359375,12310968320,7140745728,400,56.4219
"39",197981,-519.369750976562,-561.813415527344,12677586944,7099827712,760,56.0117709677419
"40",197982,-519.373229980469,-561.819580078125,12677458944,7099793920,760,56.0241956521739
"41",197983,-519.380310058594,-561.83203125,12677202944,7099726336,760,56.0319052173913
"42",197984,-519.380310058594,-561.83203125,12677202944,7099726336,760,56.0258
"43",198811,-519.369750976562,-561.813415527344,12677586944,7099827712,760,56.0088
