"","collection_no","formation","occurrence_no","record_type","reid_no","flags","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc2","protected","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","formation3","stratgroup4","member5","lithdescript6","lithology17","lithadj18","lithification19","minor_lithology110","fossilsfrom111","lithology212","lithadj213","lithification214","minor_lithology215","fossilsfrom216","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","old_max_ma","old_min_ma","id","n_bins","bin_assignment","bin_midpoint","overlap_percentage","Target","plng","plat","cells","layer","data.lng","data.lat","Coll_count"
"1",11903,"Oldman",139261,"occ",NA,"","Daspletosaurus torosus","species",57258,"","Daspletosaurus torosus",NA,"species",57258,"Late Campanian","",79.52,77.03,"Russell",1970,4205,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus",NA,NA,1,"specimens",-110.681999,49.083698,"NMC 11594","Manyberries (NMC 11594)",NA,"","CA","Alberta","","stated in text","4","small collection","near center of NW 1/4 of section 36, township 1, range 6, W. 4th meridian; about 30 feet below prairie rim; near Manyberries, Alberta","gp_mid",-66.13,59.2,"101","CA","","Belly River","","bed","","","","","",NA,"","","","","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","medium","","snapshot","","dispersed","","","","frequent","","","","paleoecologic","selective quarrying,surface (in situ),mechanical,field collection","NMC","","","","","","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Oldman","Belly River","","","","","","","","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34",83.5,70.6,8077,2,"SC.4",80.75,65.06,"Tyrannosauridae",-73.7965,55.9361,7891,1,-110.681999,49.083698,"Non-singleton"
"2",11904,"Oldman",1373087,"occ",NA,"","Daspletosaurus torosus","species",57258,"","Daspletosaurus torosus",NA,"species",57258,"Late Campanian","",79.52,77.03,"Russell",1970,4205,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus",NA,NA,NA,"",-111.511902,50.742401,"NMC 350, L hind limb","Steveville (NMC 350)",NA,"","CA","Alberta","","stated in text","4","small collection","section 31, township 20, range 11, W. 4th meridian; near Steveville, Alberta","gp_mid",-65.7,60.93,"101","CA","","Belly River","","bed","","","","","",NA,"","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","","","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","GSC","","","","Sternberg","1914","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Oldman","Belly River","","","not reported","","","","","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34",83.5,70.6,8063,2,"SC.4",80.75,65.06,"Tyrannosauridae",-73.6192,57.676,7391,1,-111.511902,50.742401,"Non-singleton"
"3",11904,"Oldman",139262,"occ",NA,"","Theropoda indet.","unranked clade",94209,"","Theropoda",NA,"unranked clade",38513,"Late Campanian","",79.52,77.03,"Lambe",1915,62883,"Chordata","Saurischia","","","",NA,NA,1,"specimens",-111.511902,50.742401,"","Steveville (NMC 350)",NA,"","CA","Alberta","","stated in text","4","small collection","section 31, township 20, range 11, W. 4th meridian; near Steveville, Alberta","gp_mid",-65.7,60.93,"101","CA","","Belly River","","bed","","","","","",NA,"","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","","","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","GSC","","","","Sternberg","1914","","","terrestrial",NA,"actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Oldman","Belly River","","","not reported","","","","","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","L. M. Lambe. 1915. Report of the vertebrate palaeontologist. Summary report of the Geological Survey Department of Mines for the Calendar Year 1914 1503:116-121",83.5,70.6,7827,2,"SC.4",80.75,65.06,NA,-73.6192,57.676,7391,1,-111.511902,50.742401,"Non-singleton"
"4",11915,"Oldman",139290,"occ",23303,"","n. gen. Daspletosaurus n. sp. torosus","species",57258,"","Daspletosaurus torosus",NA,"species",57258,"Middle Campanian","",79.52,77.03,"Russell",1970,4205,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus",NA,NA,1,"specimens",-111.485008,50.751526,"","RTMP Quarry 72, Steveville, (NMC)",NA,"Daspletosaurus type, Sternberg Quarry 88, G.S.C.23","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); E 1/2, sec 5, T21, R11, LSD 4","gp_mid",-65.66,60.93,"101","CA","","Belly River","","bed","","","","","Dinosaur Park",-3.91,"bottom to top","","""sandstone, claystone, siltstone""","sandstone","","","argillaceous,silty","Y","","","","","","fine channel fill","","","macrofossils","","","","","",NA,"","body","good","parautochthonous","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","C. M. Sternberg","1921","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Oldman","Belly River","","""sandstone, claystone, siltstone""","sandstone","","","argillaceous,silty","Y","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34",83.5,70.6,8010,2,"SC.4",80.75,65.06,"Tyrannosauridae",-73.5833,57.6783,7392,1,-111.485008,50.751526,"Non-singleton"
"5",11919,"Oldman",139294,"occ",32334,"","Gryposaurus cf. notabilis","species",63251,"","Gryposaurus notabilis",NA,"species",63251,"Late Campanian","",79.52,77.03,"Prieto-Márquez",2011,59147,"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Gryposaurus",NA,NA,1,"specimens",-111.529999,50.77,"NMC 8784, poorly preserved skull & skeleton","near mouth of Sandhill Creek (50 ft level) [NMC]",NA,"Sand Creek, RTMP Quarry 252","CA","Alberta","","based on nearby landmark","2","small collection","near mouth of Sandhill Creek, about 50 feet (~15 m) above Red Deer River, AB. [Listed as Sand Creek but presumably an error, M. Vavrek pers. comm. to M. Carrano.]","gp_mid",-65.69,60.96,"101","CA","","Belly River","","bed","","","","","",NA,"","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","poor","","snapshot","","","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","B. Brown & W. Cutler","1913","","","terrestrial",NA,"actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Oldman","Belly River","","","not reported","","","","","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","A. Prieto-Márquez. 2011. Cranial and appendicular ontogeny of Bactrosaurus johnsoni, a hadrosauroid dinosaur from the Late Cretaceous of northern China. Palaeontology 54(4):773-792",83.5,70.6,7440,2,"SC.4",80.75,65.06,"Hadrosauridae",-73.6202,57.7059,7391,1,-111.529999,50.77,"Non-singleton"
"6",13000,"Menefee",147094,"occ",39560,"","Brachychampsa n. sp. sealeyi","species",56477,"","Brachychampsa sealeyi",NA,"species",56477,"Early Campanian","Middle Campanian",83.59,78.22,"Williamson",1996,4308,"Chordata","Reptilia","Crocodylia","Alligatoridae","Brachychampsa",NA,NA,1,"individuals",-107.199997,35.700001,"NMMMH P-25050, ""new species""","NMMNH locality L-3034",NA,"","US","New Mexico","Sandoval","estimated from map","1","","","gp_mid",-70.3,45.81,"101","US","FED","Mesaverde","Allison","group of beds","","","","","",NA,"","","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","terrestrial indet.","","Allison Member, at approx. 183 m thick, is the thickest member of the Menefee Fm.","macrofossils","","","","","punctures",NA,"","body,original carbon","good","","","","","","","","","","","puncture marks are interpreted as possible alligator bite marks ","taxonomic","field collection","NMMNH","","","","","","""plant debris"" and ""wood"" ","","freshwater",NA,"actively mobile","amphibious","","carnivore","","","","phosphatic","","",NA,"Menefee","Mesaverde","Allison","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","T. E. Williamson. 1996. ?Brachychampsa sealeyi, sp. nov., (Crocodylia, Alligatoroidea) from the Upper Cretaceous (lower Campanian) Menefee Formation, northwestern New Mexico\r\n. Journal of Vertebrate Paleontology 16(3):421-431",83.5,70.6,7010,1,"SC.4",80.75,100,NA,-77.8913,42.5656,12380,1,-107.199997,35.700001,"Non-singleton"
"7",13000,"Menefee",147095,"occ",NA,"","Baenidae indet.","family",37627,"","Baenidae",NA,"family",37627,"Early Campanian","Middle Campanian",83.59,78.22,"Williamson and Sealey",1995,81222,"Chordata","Reptilia","Testudinata","Baenidae","",NA,NA,3,"individuals",-107.199997,35.700001,"","NMMNH locality L-3034",NA,"","US","New Mexico","Sandoval","estimated from map","1","","","gp_mid",-70.3,45.81,"101","US","FED","Mesaverde","Allison","group of beds","","","","","",NA,"","","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","terrestrial indet.","","Allison Member, at approx. 183 m thick, is the thickest member of the Menefee Fm.","macrofossils","","","","","punctures",NA,"","body,original carbon","good","","","","","","","","","","","puncture marks are interpreted as possible alligator bite marks ","taxonomic","field collection","NMMNH","","","","","","""plant debris"" and ""wood"" ","","terrestrial",NA,"actively mobile","","","","","","","phosphatic","","",NA,"Menefee","Mesaverde","Allison","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","T. E. Williamson and P. L. Sealey. 1995. Additions to the vertebrate fauna from the Upper Cretaceous (lower Campanian) Allison Member, Menefee Formation, southeastern San Juan Basin, New Mexico. New Mexico Geology 17(2):34",83.5,70.6,7037,1,"SC.4",80.75,100,NA,-77.8913,42.5656,12380,1,-107.199997,35.700001,"Non-singleton"
"8",13000,"Menefee",1202189,"occ",39561,"","Dromaeosauridae indet. A informal","family",38561,"obsolete variant of","Dromaeosauridae",NA,"family",38561,"Early Campanian","Middle Campanian",83.59,78.22,"Williamson and Brusatte",2014,50790,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Dromaeosauridae","",NA,NA,1,"specimens",-107.199997,35.700001,"NMMNH P25054","NMMNH locality L-3034",NA,"","US","New Mexico","Sandoval","estimated from map","1","","","gp_mid",-70.3,45.81,"101","US","FED","Mesaverde","Allison","group of beds","","","","","",NA,"","","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","terrestrial indet.","","Allison Member, at approx. 183 m thick, is the thickest member of the Menefee Fm.","macrofossils","","","","","punctures",NA,"","body,original carbon","good","","","","","","","","","","","puncture marks are interpreted as possible alligator bite marks ","taxonomic","field collection","NMMNH","","","","","","""plant debris"" and ""wood"" ","","terrestrial",NA,"actively mobile","ground dwelling","","carnivore","oviparous","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Menefee","Mesaverde","Allison","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","T. E. Williamson and S. L. Brusatte. 2014. Small theropod teeth from the Late Cretaceous of the San Juan Basin, northwestern New Mexico and their implications for understanding latest Cretaceous dinosaur evolution. PLoS ONE 9(4):e93190:1-23",83.5,70.6,7038,1,"SC.4",80.75,100,NA,-77.8913,42.5656,12380,1,-107.199997,35.700001,"Non-singleton"
"9",13000,"Menefee",1202190,"occ",39562,"","Centrosaurinae indet.","subfamily",53953,"","Centrosaurinae",NA,"subfamily",53953,"Early Campanian","Middle Campanian",83.59,78.22,"Williamson and Brusatte",2014,50790,"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","",NA,NA,1,"individuals",-107.199997,35.700001,"","NMMNH locality L-3034",NA,"","US","New Mexico","Sandoval","estimated from map","1","","","gp_mid",-70.3,45.81,"101","US","FED","Mesaverde","Allison","group of beds","","","","","",NA,"","","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","terrestrial indet.","","Allison Member, at approx. 183 m thick, is the thickest member of the Menefee Fm.","macrofossils","","","","","punctures",NA,"","body,original carbon","good","","","","","","","","","","","puncture marks are interpreted as possible alligator bite marks ","taxonomic","field collection","NMMNH","","","","","","""plant debris"" and ""wood"" ","","terrestrial",NA,"actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Menefee","Mesaverde","Allison","""silty mudstone, rich in carbonized wood and other plant debris.""","mudstone","","","silty","Y","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","T. E. Williamson and S. L. Brusatte. 2014. Small theropod teeth from the Late Cretaceous of the San Juan Basin, northwestern New Mexico and their implications for understanding latest Cretaceous dinosaur evolution. PLoS ONE 9(4):e93190:1-23",83.5,70.6,7015,1,"SC.4",80.75,100,"Ceratopsidae",-77.8913,42.5656,12380,1,-107.199997,35.700001,"Non-singleton"
"10",13281,"Two Medicine",520925,"occ",NA,"F","Prismatoolithus levis","species",67337,"","Prismatoolithus levis",NA,"species",67337,"Campanian","",81.5,75.04,"Zelenitsky",2000,14294,"Chordata","Reptilia","NO_ORDER_SPECIFIED","Prismatoolithidae","Prismatoolithus",NA,NA,NA,"",-112.182777,47.8125,"","Egg Island, MOR TM-024",NA,"","US","Montana","Teton","based on nearby landmark","seconds","outcrop","coordinates are for nearby town of Choteau, MT","gp_mid",-68.69,58.19,"101","US","","Montana","","group of beds","","","","","",NA,"","unlabeled section shows that fossils are distributed in several horizons, but no details given","brown, organic-rich, siliceous carbonates with mudstone inclusions; ""interbedded calcretes and mudstones""","""carbonate""","brown","lithified","argillaceous","Y","mudstone","","","","","terrestrial indet.","","interpreted as the products of soil formation where partially dried sediments were repeatedly disrupted and mixed in the process of nest construction and daily traffic; ""carbonate-rich paleosols and overbank deposition""","macrofossils","","","","","",NA,"","body","good","autochthonous","snapshot","","","","","","","","","up to 24 hatched eggs (and unknown number of juvenile specimens) preserved in 10 nests; each nest is a ""snapshot"" but the nests are distributed in three different layers within the section.","paleoecologic","selective quarrying,mechanical,hydrochloric,field collection,observed (not collected)","","","","","J. Horner, D. Varricchio","1983-","","Nests originally identified as hypsilophodontid (Orodromeus) based on nearby skeletons, but later re-identified as theropod (Troodon).","terrestrial",NA,"actively mobile","","","","","","","phosphatic","","",NA,"Two Medicine","Montana","","brown, organic-rich, siliceous carbonates with mudstone inclusions; ""interbedded calcretes and mudstones""","""carbonate""","brown","lithified","argillaceous","Y","mudstone","","","","","Campanian","Campanian","Campanian","Campanian","Campanian","D. K. Zelenitsky. 2000. Dinosaur eggs from Asia and North America. Y.-N. Lee (ed.), 2000 International Dinosaur Symposium for Kosong County in Korea. Paleontological Society of Korea Special Publication 4:13-26",83.6,72.1,8366,2,"SC.4",80.75,55.73,NA,-76.2222,55.0873,8386,1,-112.182777,47.8125,"Non-singleton"
