"","Res","Target","Covariate","Sample_cap","Sig","Value"
"1",0.5,"Ankylosauridae","Bin 2 (75 Ma)",10,0,0.368666666666667
"2",0.5,"Ankylosauridae","Bin 3 (69 Ma)",10,0,0.245
"3",0.5,"Ankylosauridae","Collections",40,0,0.131666666666667
"4",0.5,"Ankylosauridae","Distance",10,0,0.942333333333333
"5",0.5,"Ankylosauridae","Land cover (3)",10,0,0.0786666666666667
"6",0.5,"Ankylosauridae","Land cover (4)",10,0,0.166333333333333
"7",0.5,"Ankylosauridae","Outcrop area",40,0,0.96
"8",0.5,"Ankylosauridae","Sediment Flux",40,0,0.0513333333333333
"9",0.5,"Ceratopsidae","Bin 2 (75 Ma)",10,0,0.326666666666667
"10",0.5,"Ceratopsidae","Bin 2 (75 Ma)",40,0,0.478666666666667
"11",0.5,"Ceratopsidae","Bin 3 (69 Ma)",10,0,0.953666666666667
"12",0.5,"Ceratopsidae","Land cover (2)",10,0,0.838333333333333
"13",0.5,"Ceratopsidae","Land cover (2)",40,0,0.734
"14",0.5,"Ceratopsidae","Land cover (4)",10,0,0.129333333333333
"15",0.5,"Ceratopsidae","Land cover (4)",40,0,0.144333333333333
"16",0.5,"Ceratopsidae","MGVF",40,0,0.206
"17",0.5,"Ceratopsidae","Rainfall",40,0,0.639333333333333
"18",0.5,"Hadrosauridae","Bin 2 (75 Ma)",10,0,0.461
"19",0.5,"Hadrosauridae","Bin 2 (75 Ma)",40,0,0.146666666666667
"20",0.5,"Hadrosauridae","Bin 3 (69 Ma)",10,0,0.0256666666666667
"21",0.5,"Tyrannosauridae","Collections",10,0,0.151666666666667
"22",0.5,"Tyrannosauridae","Collections",40,0,0.0366666666666667
"23",0.5,"Tyrannosauridae","Rainfall",40,0,0.220333333333333
"24",1,"Ankylosauridae","Land cover (3)",10,0,0.4
"25",1,"Ankylosauridae","Land cover (4)",10,0,0.443333333333333
"26",1,"Ankylosauridae","Outcrop area",10,0,0.935333333333333
"27",1,"Ankylosauridae","Sediment Flux",40,0,0.0596666666666667
"28",1,"Ceratopsidae","Bin 2 (75 Ma)",10,0,0.398666666666667
"29",1,"Ceratopsidae","Bin 2 (75 Ma)",40,0,0.254666666666667
"30",1,"Ceratopsidae","Bin 3 (69 Ma)",10,0,0.341333333333333
"31",1,"Ceratopsidae","Bin 3 (69 Ma)",40,0,0.782
"32",1,"Ceratopsidae","Bin 4 (66.7 Ma)",10,0,0.948666666666667
"33",1,"Ceratopsidae","Bin 4 (66.7 Ma)",40,0,0.971
"34",1,"Ceratopsidae","MGVF",40,0,0.799333333333333
"35",1,"Hadrosauridae","Bin 2 (75 Ma)",10,0,0.772333333333333
"36",1,"Hadrosauridae","Bin 2 (75 Ma)",40,0,0.389333333333333
"37",1,"Hadrosauridae","Bin 3 (69 Ma)",10,0,0.0516666666666667
"38",1,"Hadrosauridae","Bin 4 (66.7 Ma)",10,0,0.0493333333333333
"39",1,"Hadrosauridae","Land cover (2)",10,0,0.768666666666667
"40",1,"Hadrosauridae","Land cover (4)",10,0,0.950666666666667
"41",1,"Tyrannosauridae","Rainfall",40,0,0.427
