"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"1",29909,83.7727127075195,81,12.6666669845581,-10.3583335876465,83.7727127075195,83.7727127075195,0,1,0,0,0
"2",59130,182.949630737305,79,27.8333339691162,-6.875,182.949630737305,182.949630737305,0,2,0,0,0
"3",70012,702.161254882812,90,28.5,-5.51666641235352,702.161254882812,702.161254882812,0,1,0,0,0
"4",77246,1506.58728027344,35,39,-3.10833334922791,1506.58728027344,1506.58728027344,0,1,0,0,0
"5",77252,707.458801269531,96,33.25,-2.90833330154419,707.458801269531,707.458801269531,0,1,0,0,0
"6",78071,1294.5966796875,82,43.6666679382324,-2.80833339691162,1294.5966796875,1294.5966796875,0,1,0,0,0
"7",78074,1201.08837890625,58,44.6666679382324,-3.02499985694885,1201.08837890625,1201.08837890625,0,1,0,0,0
"8",78079,1698.73071289062,30,41.3333320617676,-3.69166660308838,1698.73071289062,1698.73071289062,0,1,0,0,0
"9",79722,806.423034667969,91,48.1666679382324,-4.01666688919067,806.423034667969,806.423034667969,0,2,0,0,0
"10",145626,579.575561523438,93,39.5,2.64166665077209,579.575561523438,579.575561523438,0,1,0,0,0.340000003576279
"11",149796,1148.09118652344,89,48.6666679382324,1.14999997615814,1148.09118652344,1148.09118652344,0,1,0.970000028610229,0.970000028610229,0.970000028610229
"12",150626,923.266937255859,90.5,47.7083320617676,1.45833313465118,934.247863769531,912.286010742188,21.9618530273438,2,1,1,1
"13",162265,678.025939941406,69,40.0833320617676,3.25,678.025939941406,678.025939941406,0,1,0,0,0
"14",163092,682.657836914062,88,40.5833320617676,2.54166674613953,682.657836914062,682.657836914062,0,1,0,0,0
"15",163922,722.855407714844,90,41.5,2.75,727.819458007812,717.891357421875,9.9281005859375,3,0.0599999986588955,0.0599999986588955,0.0599999986588955
"16",170579,702.583190917969,84,34.75,3.06666660308838,702.583190917969,702.583190917969,0,1,0,0.0700000002980232,0.0700000002980232
"17",171399,847.446411132812,93,39.5,3.03333330154419,847.446411132812,847.446411132812,0,1,0.689999997615814,0.689999997615814,0.689999997615814
"18",171400,790.733581542969,90,38.5,3.14166665077209,790.733581542969,790.733581542969,0,1,0.300000011920929,0.300000011920929,0.300000011920929
"19",172222,853.725158691406,68,38.5833320617676,3.30833339691162,853.725158691406,853.725158691406,0,1,0,0,0
"20",172239,825.144287109375,84,34.8333320617676,2.65833330154419,825.144287109375,825.144287109375,0,1,0,0,0
"21",173890,813.553588867188,79,35.5833320617676,3.23333334922791,813.553588867188,813.553588867188,0,1,0.100000001490116,0.100000001490116,0.100000001490116
"22",174718,865.885314941406,92,37.75,2.89999985694885,865.885314941406,865.885314941406,0,1,0.00999999977648258,0.00999999977648258,0.00999999977648258
"23",174720,830.576080322266,82.25,34.7708339691162,3.30833327770233,861.279052734375,812.679321289062,48.5997314453125,4,0.360000014305115,0.360000014305115,0.360000014305115
"24",174721,788.884134928385,77.5833333333333,33.9999996821086,3.48749981323878,894.114807128906,761.439636230469,132.675170898438,8,0.479999989271164,0.479999989271164,0.479999989271164
"25",174722,831.097677541334,85.8604651162791,34.4825581395349,3.0687983867734,831.994201660156,793.443664550781,38.550537109375,5,0.150000005960464,0.150000005960464,0.150000005960464
"26",174734,791.945251464844,92,31.5833339691162,2.61666679382324,791.945251464844,791.945251464844,0,1,0,0.319999992847443,0.319999992847443
