collection_no,siteID,bin_assignment,lat,lng,Distance
11890,7391,teyep,50.741,-111.529,2766.851331
11892,7392,teyep,50.753,-111.462,3186.974418
11893,7391,teyep,50.737,-111.549,2645.477234
11894,7391,teyep,50.737,-111.529,2776.435107
11895,7391,teyep,50.724,-111.565,2573.110965
11896,7391,teyep,50.74,-111.525,2795.443347
11897,7391,teyep,50.787,-111.601,2228.507053
11898,7057,teyen,51.805,-112.982,1701.969213
11899,7057,teyeo,51.819,-112.982,1694.200556
11900,7057,teyeo,51.543,-112.819,627.8390137
11901,7223,teyeo,51.47,-112.842,631.7549403
11902,7223,teyeo,51.441,-112.702,30.10156473
11903,7891,teyeq,49.084,-110.682,2085.077463
11903,7891,teyeq,49.084,-110.682,2085.077463
11904,7391,teyeq,50.742,-111.512,2876.424064
11915,7392,teyeq,50.752,-111.485,3035.858939
11916,7057,teyeo,51.928,-112.935,1399.96189
11917,7056,teyen,51.906,-113.029,1391.29197
11918,7056,teyen,51.933,-113.233,53.35730633
11919,7391,teyeq,50.77,-111.53,2712.860675
11931,8397,teyen,47.638,-106.57,2955.802347
12584,12213,teyep,36.06,-107.966,1970.595184
12977,8398,teyen,47.696,-106.228,517.8640931
13000,12380,teyeq,35.7,-107.2,2236.794611
13142,8398,teyen,47.8,-106.1,365.3869433
13281,8386,teyeq,47.812,-112.183,1.5409421
13282,8386,teyeq,47.812,-112.183,1.5409421
13294,11210,teyeo,39.267,-111.254,249.2051169
13339,7391,teyep,50.742,-111.566,2521.693313
13340,7391,teyeq,50.73,-111.8,1018.567222
14409,11705,teyeq,37.7,-113,346.0859012
14410,11705,teyeq,37.7,-113,346.0859012
14412,11870,teyeq,37.5,-113.5,1091.825039
14413,11870,teyeq,37.5,-113.5,1091.825039
14421,11705,teyeq,37.592,-112.899,0.702334995
14429,11708,teyeq,37.6,-111.35,1869.035633
14430,11705,teyeq,37.593,-112.884,3.043669616
14431,9723,teyeq,44,-108,67.10915443
14432,8389,teyep,47.7,-110.7,1355.575883
14433,9890,teyeq,43.2,-107.1,1663.560813
14434,8890,teyep,46.42,-109.27,1362.331216
14435,8057,teyep,48.917,-110.583,2554.307026
14436,12212,teyep,36.3,-108.2,561.5447265
14437,8890,teyep,46.46,-109.41,1602.854695
14439,9557,teyeq,44.103,-107.757,786.5939444
14440,9557,teyeq,44.103,-107.757,786.5939444
14445,8059,teyep,48.567,-109.683,21.62866623
14446,8391,teyep,47.808,-109.59,5288.583393
14447,8391,teyep,47.794,-109.568,5335.906967
14448,8057,teyep,48.933,-110.583,2498.790259
